# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
6.25e-07, 7.5e-05, 295, -6.45387752651, -7.08990599552, -6.47327255142, -7.12440441675
6.3e-07, 7.5e-05, 295, -6.25392274443, -6.87579733873, -6.27307138647, -6.90981413041
6.35e-07, 7.5e-05, 295, -6.06207042578, -6.6702213102, -6.08048125455, -6.70325577629
6.4e-07, 7.5e-05, 295, -5.87708801687, -6.47190392535, -5.8951589296, -6.50437084903
6.45e-07, 7.5e-05, 295, -5.69917840297, -6.28104939375, -5.71677907651, -6.31281939525
6.5e-07, 7.5e-05, 295, -5.52787483766, -6.09717234481, -5.54503319425, -6.1282789232
6.55e-07, 7.5e-05, 295, -5.36289402385, -5.91997670079, -5.37962862803, -5.950443384
6.6e-07, 7.5e-05, 295, -5.20397809102, -5.74919190448, -5.22028764685, -5.77902221978
6.65e-07, 7.5e-05, 295, -5.05083468146, -5.58451344383, -5.06674658068, -5.61373947259
6.7e-07, 7.5e-05, 295, -4.90322151099, -5.42568693459, -4.91875501338, -5.45433295144
6.75e-07, 7.5e-05, 295, -4.76104349803, -5.27261127821, -4.77607502736, -5.30055345206
6.8e-07, 7.5e-05, 295, -4.62358123497, -5.12453941179, -4.63848049649, -5.15216402623
6.85e-07, 7.5e-05, 295, -4.49144680607, -4.98210151202, -4.50575642327, -5.00893929696
6.9e-07, 7.5e-05, 295, -4.36360517032, -4.84422430464, -4.37769831803, -4.8706648168
6.95e-07, 7.5e-05, 295, -4.24037510848, -4.71123414112, -4.25411161659, -4.73713646528
7e-07, 7.5e-05, 295, -4.12139311756, -4.58275329071, -4.134811134, -4.60815988423
7.05e-07, 7.5e-05, 295, -4.00651847347, -4.45863282714, -4.01962055201, -4.48354994718
7.1e-07, 7.5e-05, 295, -3.89557597677, -4.33868917668, -3.90837193744, -4.36313026118
7.15e-07, 7.5e-05, 295, -3.78840653989, -4.22275519464, -3.80090529018, -4.2467326986
7.2e-07, 7.5e-05, 295, -3.68485881394, -4.11067186641, -3.69706811823, -4.13419695726
7.25e-07, 7.5e-05, 295, -3.58477450643, -4.00227297733, -3.59671503814, -4.02537014622
7.3e-07, 7.5e-05, 295, -3.4881552153, -3.8975584742, -3.49970739921, -3.92010639664
7.35e-07, 7.5e-05, 295, -3.39440180148, -3.79590417153, -3.40591293007, -3.8182664952
7.4e-07, 7.5e-05, 295, -3.3041879208, -3.69800803888, -3.3152054056, -3.71971753902
7.45e-07, 7.5e-05, 295, -3.21646479774, -3.60277901163, -3.22746433366, -3.6243326105
7.5e-07, 7.5e-05, 295, -3.13203481713, -3.51104951303, -3.14257465974, -3.53199047121
7.55e-07, 7.5e-05, 295, -3.0500087066, -3.42189307056, -3.06042648869, -3.44257527272
7.6e-07, 7.5e-05, 295, -2.97073828094, -3.33567432719, -2.98091482232, -3.35597628447
7.65e-07, 7.5e-05, 295, -2.89398544893, -3.25214417559, -2.90393931189, -3.27208763674
7.7e-07, 7.5e-05, 295, -2.81966758034, -3.17121524029, -2.82940402472, -3.1908080781
7.75e-07, 7.5e-05, 295, -2.74769268231, -3.09279044821, -2.75721722365, -3.11204074641
7.8e-07, 7.5e-05, 295, -2.67796864584, -3.01677282767, -2.68729115897, -3.03569295249
7.85e-07, 7.5e-05, 295, -2.61042686861, -2.94308905175, -2.61954187192, -2.96167597592
