# R = 150 (µm)
# T = 300 (K)
# model = Drude
# omegap = 9 (eV)
# gamma = 0.035 (eV)

# L (nm), E (J), E/Epfa
717.875, -3.01671249664822e-19, 0.991846834393342
722.5, -2.9788714380789e-19, 0.991769281568775
727.125, -2.94176033928221e-19, 0.991691391255539
731.75, -2.90536091784368e-19, 0.991613165311214
736.375, -2.8696554533582e-19, 0.991534605497982
741, -2.83462676692259e-19, 0.991455713478268
745.625, -2.8002582023678e-19, 0.991376491119931
750.25, -2.76653360691343e-19, 0.991296940321787
754.875, -2.73343731273958e-19, 0.991217062873913
759.5, -2.70095412007274e-19, 0.991136860589096
764.125, -2.66906928128663e-19, 0.991056335784917
768.75, -2.63776848326532e-19, 0.990975489706263
773.375, -2.60703783387935e-19, 0.990894324614577
778, -2.5768638466546e-19, 0.990812842535234
782.625, -2.54723342621588e-19, 0.990731045318027
787.25, -2.51813385598366e-19, 0.990648935090436
791.875, -2.48955278406386e-19, 0.990566513809929
796.5, -2.46147821145256e-19, 0.990483783510232
801.125, -2.43389847994527e-19, 0.990400746245351
805.75, -2.40680226065438e-19, 0.990317404087434
810.375, -2.38017854297342e-19, 0.990233759124439
815, -2.35401662414371e-19, 0.990149813531283
819.625, -2.32830609855986e-19, 0.990065569573979
824.25, -2.30303684830195e-19, 0.989981028870805
828.875, -2.27819903418538e-19, 0.989896193951869
833.5, -2.25378308570948e-19, 0.989811066912581
838.125, -2.22977969299662e-19, 0.989725649938657
842.75, -2.20617979819532e-19, 0.989639945223178
847.375, -2.18297458756637e-19, 0.989553955045707
852, -2.16015548306144e-19, 0.989467681486416
856.625, -2.13771413591676e-19, 0.989381126921653
861.25, -2.1156424181796e-19, 0.989294293455375
865.875, -2.0939324169861e-19, 0.989207183489783
870.5, -2.07257642676804e-19, 0.989119799222503
875.125, -2.05156694340841e-19, 0.989032142934926
879.75, -2.03089665784769e-19, 0.988944217130198
884.375, -2.01055845007258e-19, 0.988856023660432
889, -1.99054538333766e-19, 0.988767565078596
893.625, -1.97085069854264e-19, 0.988678843701559
898.25, -1.95146780886342e-19, 0.988589861858911
902.875, -1.93239029468689e-19, 0.988500621963897
907.5, -1.91361189799642e-19, 0.988411126210892
912.125, -1.89512651856274e-19, 0.988321377105659
916.75, -1.87692820822419e-19, 0.988231376932434
921.375, -1.85901116696405e-19, 0.98814112805936
926, -1.84136973824902e-19, 0.988050632782376
930.625, -1.82399840539731e-19, 0.987959893637129
935.25, -1.80689178663237e-19, 0.98786891293188
939.875, -1.79004463173094e-19, 0.987777693057661
944.5, -1.77345181822563e-19, 0.987686236494413
949.125, -1.75710834713882e-19, 0.987594545691818
953.75, -1.74100934030264e-19, 0.987502622694765
958.375, -1.72515003649095e-19, 0.9874104702258
963, -1.70952578767327e-19, 0.987318090536845
967.625, -1.69413205678962e-19, 0.987225486205275
972.25, -1.67896441352085e-19, 0.987132659488454
