# R = 150 (µm)
# T = 300 (K)
# model = Drude
# omegap = 9 (eV)
# gamma = 0.035 (eV)

# L (nm), F' (N/m), F'/F'pfa
440.375, 2.36663089751773e-05, 0.998830638041334
445, 2.27331040997243e-05, 0.998821710054638
449.625, 2.18451796878797e-05, 0.998812544579552
454.25, 2.09999391355158e-05, 0.998803569592622
458.875, 2.01949496631078e-05, 0.998794819316874
463.5, 1.94279280284583e-05, 0.998785783331297
468.125, 1.86967603888672e-05, 0.998776999220069
472.75, 1.79994580031858e-05, 0.998768414566307
477.375, 1.73341517986891e-05, 0.998759529135432
482, 1.66991097887126e-05, 0.998750905179314
486.625, 1.60926968215029e-05, 0.998742404503108
491.25, 1.55133775790319e-05, 0.998733743089875
495.875, 1.49597245592418e-05, 0.998725478749336
500.5, 1.44303761331087e-05, 0.998716725980572
505.125, 1.39240817286702e-05, 0.998708562163156
509.75, 1.34396399747415e-05, 0.998700217813291
514.375, 1.29759337068077e-05, 0.99869182281561
519, 1.25319129416143e-05, 0.998683604619094
523.625, 1.2106585971519e-05, 0.998675534310016
528.25, 1.16990150560401e-05, 0.998667261416168
532.875, 1.13083269339559e-05, 0.998659322694318
537.5, 1.09336855546878e-05, 0.998651130964371
542.125, 1.05743156427354e-05, 0.998643309657469
546.75, 1.0229472161763e-05, 0.998635220253554
551.375, 9.89846315639753e-06, 0.99862733014208
556, 9.58063015734239e-06, 0.998619635365634
560.625, 9.27534655498296e-06, 0.998611662271253
565.25, 8.98203089205427e-06, 0.99860411985162
569.875, 8.70011822259073e-06, 0.998596051271906
574.5, 8.42909501665613e-06, 0.998588923128885
579.125, 8.16844620965124e-06, 0.998580774392863
583.75, 7.91771635040577e-06, 0.998573580663767
588.375, 7.67644643171664e-06, 0.998565886108539
593, 7.44421830190891e-06, 0.998558399206917
597.625, 7.22063023701996e-06, 0.998551157781973
602.25, 7.00529682724742e-06, 0.998543585179427
606.875, 6.79786036968653e-06, 0.998536245954719
611.5, 6.59797727317797e-06, 0.998529138251342
616.125, 6.40531764017855e-06, 0.998521700997243
620.75, 6.21957534467557e-06, 0.998514506184359
625.375, 6.04045429048771e-06, 0.99850731453474
630, 5.86767615932705e-06, 0.998500414736911
634.625, 5.70097051479595e-06, 0.998493111927693
639.25, 5.54008781567117e-06, 0.998486064035517
643.875, 5.38478717651482e-06, 0.998479346731964
648.5, 5.23483316637098e-06, 0.998471879614678
653.125, 5.09001669543876e-06, 0.99846548196378
657.75, 4.95011993866858e-06, 0.998458336633916
662.375, 4.81494978162886e-06, 0.998451512046502
667, 4.68431659252702e-06, 0.998444968773425
671.625, 4.55803640875319e-06, 0.998437981830339
676.25, 4.43594042529644e-06, 0.998431286264708
680.875, 4.31786304940411e-06, 0.998424621396675
685.5, 4.20364727553651e-06, 0.998417962835594
690.125, 4.09314487533149e-06, 0.998411696629582
694.75, 3.98620745639142e-06, 0.998404526001761
699.375, 3.88270717338738e-06, 0.998398657256102
704, 3.78250428262257e-06, 0.998391796241331
708.625, 3.68548094632101e-06, 0.998385776756875
713.25, 3.59151060445931e-06, 0.998378685758881
717.875, 3.50048819965617e-06, 0.99837305890007
722.5, 3.41229414425915e-06, 0.998366003478324
727.125, 3.32683381809328e-06, 0.998360405973585
731.75, 3.24399987007454e-06, 0.998354162153018
736.375, 3.16369663008195e-06, 0.99834729206836
741, 3.08583756649204e-06, 0.998341468785106
745.625, 3.01033141324931e-06, 0.99833568833654
750.25, 2.93709177704263e-06, 0.99832925134691
754.875, 2.86603971954574e-06, 0.998322768196677
759.5, 2.79710254958306e-06, 0.9983179533474
764.125, 2.73019447775057e-06, 0.998310739037972
768.75, 2.66525564043295e-06, 0.998305230593382
773.375, 2.60221286042294e-06, 0.998299726361115
778, 2.54099728109745e-06, 0.998292968377824
782.625, 2.48155367948849e-06, 0.99828800525718
787.25, 2.42381371102284e-06, 0.998281743168116
791.875, 2.36772378229963e-06, 0.998275996962151
796.5, 2.31322678000545e-06, 0.998270251165896
801.125, 2.26026915832454e-06, 0.998264549853047
805.75, 2.20879919618026e-06, 0.99825882167826
810.375, 2.15876862926093e-06, 0.998253663574472
815, 2.1101266457464e-06, 0.998247619278008
819.625, 2.06282932718959e-06, 0.9982415491101
824.25, 2.01683575457448e-06, 0.998237015632803
828.875, 1.97209719735004e-06, 0.998230923191755
833.5, 1.92857744200077e-06, 0.998225542376541
838.125, 1.88623550381645e-06, 0.998220018455463
842.75, 1.84503516761877e-06, 0.998215205299016
847.375, 1.80493554541397e-06, 0.998208672764504
852, 1.76590908352679e-06, 0.998204550875401
856.625, 1.7279133285911e-06, 0.998197987593036
861.25, 1.69092436835383e-06, 0.998193914392415
865.875, 1.65490340616639e-06, 0.998188009243727
870.5, 1.61982460965425e-06, 0.998182857028938
875.125, 1.5856574907507e-06, 0.998177656344194
879.75, 1.55237406584832e-06, 0.998172473717909
884.375, 1.51994735662662e-06, 0.998167384662265
889, 1.48835102722373e-06, 0.998162257680648
893.625, 1.4575599144392e-06, 0.998157121641134
898.25, 1.42755088447626e-06, 0.998152808202239
902.875, 1.39829629046234e-06, 0.998146390541385
907.5, 1.36978047368358e-06, 0.998142836540227
912.125, 1.34197454034687e-06, 0.998137105463847
916.75, 1.31486168769014e-06, 0.998132338640428
921.375, 1.28841899770343e-06, 0.998126644099617
926, 1.26263089052752e-06, 0.998123223483776
930.625, 1.23747257987611e-06, 0.998117576361144
935.25, 1.21292955204756e-06, 0.99811275573904
939.875, 1.18898406623592e-06, 0.998108839221647
944.5, 1.16561501982362e-06, 0.998102520290095
949.125, 1.14281142709658e-06, 0.998098562114656
953.75, 1.12055448788432e-06, 0.998094662587565
958.375, 1.09882588372238e-06, 0.9980882870368
963, 1.07761725034985e-06, 0.998085448460072
967.625, 1.05690626253366e-06, 0.998078990651011
972.25, 1.03668663272647e-06, 0.998076174435857
976.875, 1.01693808155514e-06, 0.998070655706966
981.5, 9.97651370013643e-07, 0.998066196013075
986.125, 9.78812700030751e-07, 0.998061774479017
