# R = 150 (µm)
# T = 300 (K)
# model = Drude
# omegap = 9 (eV)
# gamma = 0.035 (eV)

# L (nm), F (N), F/Fpfa
791.875, -6.12450837284484e-13, 0.997877676880511
796.5, -6.01626742564052e-13, 0.997870564898246
801.125, -5.91051116376261e-13, 0.997863466992619
805.75, -5.80716959804602e-13, 0.997856383658329
810.375, -5.7061750402227e-13, 0.997849308939029
815, -5.60746210161549e-13, 0.997842245696239
819.625, -5.51096759903328e-13, 0.997835205001685
824.25, -5.41663027358586e-13, 0.997828170255666
828.875, -5.32439096410977e-13, 0.997821142055126
833.5, -5.23419248118292e-13, 0.997814130249125
838.125, -5.1459794011046e-13, 0.997807128334803
842.75, -5.05969808575704e-13, 0.997800130355908
847.375, -4.97529670211131e-13, 0.997793147659384
852, -4.89272497333857e-13, 0.99778617271624
856.625, -4.81193425545008e-13, 0.997779206006643
861.25, -4.73287743926757e-13, 0.997772248344772
865.875, -4.65550885102418e-13, 0.997765291580595
870.5, -4.57978433820919e-13, 0.997758348231749
875.125, -4.50566102355262e-13, 0.997751410110325
879.75, -4.43309739705436e-13, 0.99774447838682
884.375, -4.36205321464421e-13, 0.997737552135757
889, -4.29248946562276e-13, 0.997730630618329
893.625, -4.22436833413015e-13, 0.997723715292476
898.25, -4.15765310611679e-13, 0.997716797121606
902.875, -4.09230826778075e-13, 0.997709889659551
907.5, -4.02829928436917e-13, 0.997702985628141
912.125, -3.96559265174467e-13, 0.997696077505428
916.75, -3.90415594055536e-13, 0.997689177898761
921.375, -3.84395762795672e-13, 0.997682286330149
926, -3.78496707390447e-13, 0.997675390576118
930.625, -3.7271545789192e-13, 0.997668489663672
935.25, -3.67049136793299e-13, 0.997661598628014
939.875, -3.61494937630007e-13, 0.997654698734215
944.5, -3.56050147237506e-13, 0.997647805073064
949.125, -3.50712125525619e-13, 0.997640919442904
953.75, -3.45478298783541e-13, 0.997634016989619
958.375, -3.40346183741867e-13, 0.997627122780657
963, -3.35313355050297e-13, 0.997620225500977
967.625, -3.30377459966041e-13, 0.99761332613746
972.25, -3.25536211905108e-13, 0.997606425991978
976.875, -3.20787384395045e-13, 0.997599514567572
981.5, -3.16128821686285e-13, 0.997592608702179
986.125, -3.11558418514185e-13, 0.99758569617563
