# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 148200nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
342.6, 0.74252, 5.43E-04
344.2, 0.74616, 5.56E-04
346.2, 0.74623, 4.41E-04
347.8, 0.74460, 5.60E-04
349.3, 0.74680, 4.86E-04
351.6, 0.75003, 5.67E-04
354.5, 0.74739, 4.82E-04
356.4, 0.74841, 5.30E-04
357.1, 0.75517, 4.78E-04
359.8, 0.75074, 4.77E-04
362.6, 0.74889, 4.69E-04
363.9, 0.75510, 4.40E-04
366.3, 0.75344, 5.30E-04
367.7, 0.75974, 5.52E-04
369.6, 0.75920, 4.54E-04
371.5, 0.76111, 5.51E-04
374.4, 0.75682, 4.40E-04
375.7, 0.75860, 5.08E-04
378.0, 0.76248, 5.52E-04
380.1, 0.76242, 4.33E-04
382.1, 0.76700, 5.31E-04
384.7, 0.76437, 4.67E-04
385.3, 0.75966, 4.35E-04
387.8, 0.76269, 4.54E-04
390.0, 0.76488, 4.54E-04
392.2, 0.76568, 4.90E-04
394.1, 0.76168, 4.67E-04
396.6, 0.77105, 5.43E-04
398.1, 0.77612, 5.54E-04
400.1, 0.77127, 4.63E-04
402.1, 0.77428, 5.16E-04
403.9, 0.77875, 5.53E-04
405.5, 0.76867, 4.63E-04
407.7, 0.77794, 4.87E-04
409.7, 0.77683, 5.44E-04
412.1, 0.78490, 4.35E-04
413.7, 0.78219, 4.36E-04
416.0, 0.76993, 5.61E-04
418.3, 0.77024, 4.68E-04
420.3, 0.77395, 4.87E-04
422.2, 0.77346, 5.49E-04
424.0, 0.78268, 5.53E-04
425.8, 0.78621, 4.63E-04
428.2, 0.79103, 4.89E-04
430.4, 0.78789, 4.64E-04
432.3, 0.78830, 4.74E-04
434.5, 0.78626, 4.53E-04
435.4, 0.80102, 5.06E-04
438.1, 0.79630, 5.50E-04
439.9, 0.77434, 5.21E-04
441.7, 0.79099, 5.23E-04
443.7, 0.78627, 4.55E-04
445.9, 0.79486, 5.37E-04
448.0, 0.79454, 4.99E-04
449.6, 0.77588, 5.25E-04
452.1, 0.79671, 4.93E-04
453.5, 0.79428, 4.73E-04
456.2, 0.79378, 5.15E-04
457.7, 0.79384, 4.69E-04
459.6, 0.78974, 5.21E-04
462.2, 0.78552, 4.92E-04
464.0, 0.80243, 4.66E-04
466.4, 0.79488, 4.65E-04
467.7, 0.81041, 5.25E-04
470.0, 0.80123, 5.65E-04
472.2, 0.79394, 5.34E-04
473.7, 0.81236, 4.36E-04
476.5, 0.79113, 5.41E-04
478.5, 0.80662, 5.30E-04
479.8, 0.81199, 5.16E-04
482.3, 0.80969, 4.91E-04
484.1, 0.82110, 4.97E-04
485.6, 0.80690, 4.51E-04
488.1, 0.80191, 4.25E-04
490.2, 0.80336, 4.97E-04
491.3, 0.80473, 4.30E-04
493.7, 0.81188, 5.08E-04
495.9, 0.80748, 4.71E-04
497.9, 0.79957, 4.88E-04
499.4, 0.80349, 5.19E-04
501.5, 0.82675, 4.86E-04
503.9, 0.83082, 4.55E-04
505.4, 0.81678, 4.76E-04
507.8, 0.82852, 4.62E-04
510.0, 0.80968, 4.81E-04
512.1, 0.81849, 5.33E-04
514.2, 0.81830, 5.25E-04
515.9, 0.80226, 5.22E-04
517.6, 0.83547, 5.33E-04
520.3, 0.81668, 4.64E-04
522.2, 0.79343, 4.25E-04
524.1, 0.80604, 4.33E-04
526.0, 0.82633, 5.53E-04
527.8, 0.82771, 5.60E-04
529.6, 0.80817, 4.60E-04
532.6, 0.80440, 5.55E-04
534.0, 0.83799, 5.54E-04
535.3, 0.82214, 4.50E-04
538.5, 0.81457, 5.42E-04
539.9, 0.82001, 4.30E-04
542.6, 0.81821, 4.56E-04
543.7, 0.81626, 5.45E-04
545.8, 0.82393, 5.56E-04
548.2, 0.81513, 4.71E-04
549.8, 0.82619, 5.06E-04
552.4, 0.81075, 5.48E-04
554.6, 0.83832, 5.08E-04
556.2, 0.84530, 4.66E-04
557.9, 0.81041, 5.12E-04
560.1, 0.82100, 5.31E-04
562.4, 0.83408, 4.21E-04
564.5, 0.82718, 4.86E-04
566.1, 0.82232, 4.73E-04
567.5, 0.83744, 4.72E-04
570.0, 0.84576, 4.80E-04
572.1, 0.79837, 5.01E-04
573.5, 0.83827, 5.03E-04
576.2, 0.79828, 5.10E-04
577.8, 0.83101, 4.96E-04
580.2, 0.82045, 4.62E-04
582.4, 0.81421, 5.25E-04
583.8, 0.81066, 4.33E-04
586.2, 0.81592, 5.66E-04
588.0, 0.84733, 5.34E-04
590.5, 0.80276, 4.69E-04
591.9, 0.84403, 4.83E-04
594.3, 0.83209, 5.07E-04
595.7, 0.82252, 4.46E-04
597.9, 0.81202, 4.27E-04
599.9, 0.84293, 5.29E-04
601.9, 0.82740, 5.53E-04
603.6, 0.83373, 5.27E-04
606.4, 0.82885, 4.86E-04
607.9, 0.83200, 4.97E-04
609.4, 0.79783, 5.15E-04
611.7, 0.84025, 5.24E-04
614.2, 0.81808, 4.51E-04
616.7, 0.84740, 4.65E-04
618.3, 0.84442, 4.97E-04
620.0, 0.86818, 5.15E-04
621.5, 0.85855, 5.60E-04
624.2, 0.84540, 4.42E-04
626.0, 0.83928, 5.12E-04
628.0, 0.84736, 4.73E-04
629.8, 0.84842, 5.45E-04
631.5, 0.83539, 5.36E-04
634.1, 0.82754, 5.19E-04
636.3, 0.84610, 5.43E-04
637.8, 0.87757, 5.50E-04
639.8, 0.84444, 4.73E-04
641.9, 0.89742, 4.40E-04
643.1, 0.80616, 4.29E-04
646.7, 0.88016, 5.48E-04
648.1, 0.90111, 5.04E-04
650.3, 0.83574, 5.55E-04
652.3, 0.75466, 4.68E-04
653.6, 0.86660, 4.79E-04
656.5, 0.94186, 4.21E-04
658.2, 0.84010, 5.26E-04
659.9, 0.82161, 4.21E-04
662.3, 0.82778, 5.16E-04
663.8, 0.83917, 4.47E-04
666.3, 0.80499, 4.59E-04
668.1, 0.91333, 5.17E-04
670.2, 0.90562, 4.33E-04
672.0, 0.83809, 5.44E-04
674.0, 0.85841, 5.51E-04
675.8, 0.86135, 5.18E-04
678.1, 0.88991, 5.59E-04
680.7, 0.87296, 4.28E-04
682.2, 0.79420, 5.05E-04
684.2, 0.81952, 4.69E-04
686.3, 0.88331, 4.30E-04
688.0, 0.86785, 5.53E-04
689.8, 0.81046, 5.61E-04
691.9, 0.85979, 4.67E-04
694.1, 0.82778, 4.47E-04
695.9, 0.84797, 4.80E-04
698.4, 0.84922, 4.20E-04
699.8, 0.80916, 4.45E-04
702.0, 0.84717, 4.75E-04
704.1, 0.83652, 4.64E-04
706.5, 0.90615, 4.73E-04
707.6, 0.97994, 5.46E-04
709.7, 0.84868, 5.02E-04
712.6, 0.87307, 4.47E-04
714.5, 0.90119, 4.49E-04
716.3, 0.88103, 4.65E-04
717.8, 0.92540, 4.23E-04
719.6, 0.81209, 4.38E-04
721.6, 0.81759, 5.45E-04
723.7, 0.88733, 4.87E-04
726.8, 0.84514, 5.48E-04
728.0, 0.80016, 5.62E-04
729.8, 0.83670, 4.96E-04
732.1, 0.88371, 4.95E-04
733.7, 0.74998, 5.66E-04
736.6, 0.79280, 4.35E-04
737.1, 0.82211, 5.49E-04
740.0, 0.80809, 5.19E-04
742.0, 0.85304, 4.46E-04
744.5, 0.93772, 5.56E-04
746.4, 0.97614, 5.04E-04
748.0, 0.90171, 5.20E-04
749.8, 0.85345, 5.45E-04
752.0, 0.90693, 5.22E-04
753.7, 0.94185, 5.20E-04
755.8, 0.93729, 4.85E-04
758.7, 0.87515, 5.27E-04
760.3, 0.74256, 4.65E-04
762.0, 0.85511, 4.20E-04
763.9, 0.94358, 5.31E-04
766.0, 0.89290, 4.66E-04
768.3, 0.99306, 4.88E-04
770.3, 0.89884, 5.44E-04
772.6, 0.88271, 4.55E-04
774.0, 0.86473, 4.22E-04
775.9, 1.00181, 5.37E-04
777.9, 0.80649, 4.27E-04
780.1, 0.92141, 5.49E-04
782.0, 0.90328, 5.28E-04
784.0, 0.86070, 5.30E-04
786.3, 0.97956, 4.28E-04
787.8, 0.85867, 5.37E-04
790.2, 0.82377, 5.10E-04
791.8, 0.76714, 4.50E-04
793.8, 0.86488, 5.45E-04
796.7, 0.82944, 4.70E-04
798.5, 0.83565, 4.87E-04
799.7, 1.00101, 5.14E-04
802.0, 1.04362, 4.24E-04
804.0, 0.99444, 5.17E-04
805.4, 0.81807, 4.45E-04
807.2, 0.90425, 5.47E-04
809.8, 0.84662, 4.30E-04
811.6, 0.85636, 4.48E-04
813.9, 0.89566, 5.26E-04
815.0, 1.00953, 4.69E-04
818.4, 0.89197, 5.60E-04
820.4, 0.86653, 5.19E-04
822.0, 0.98313, 4.92E-04
824.1, 0.78095, 4.42E-04
826.3, 0.87484, 5.31E-04
828.1, 0.96517, 5.42E-04
829.8, 0.92540, 4.72E-04
832.1, 0.93535, 4.94E-04
833.4, 0.69892, 5.40E-04
836.0, 0.97716, 5.07E-04
837.8, 0.89411, 4.73E-04
839.7, 0.95722, 4.74E-04
842.5, 0.79378, 4.94E-04
844.3, 0.89402, 4.98E-04
845.7, 1.09501, 4.77E-04
847.9, 0.91285, 5.46E-04
850.2, 0.86641, 4.76E-04
851.6, 0.94669, 5.26E-04
853.7, 0.92081, 4.42E-04
855.8, 0.87539, 5.47E-04
857.4, 0.85266, 4.29E-04
859.5, 0.85593, 4.95E-04
862.0, 0.86319, 4.25E-04
864.6, 0.94629, 4.40E-04
866.2, 0.94150, 5.32E-04
868.0, 1.09852, 4.39E-04
869.9, 0.99479, 5.05E-04
872.1, 0.96241, 4.31E-04
874.0, 0.93373, 5.57E-04
876.0, 1.03394, 4.92E-04
878.1, 0.87145, 4.97E-04
880.3, 0.81718, 4.26E-04
882.4, 0.81854, 4.50E-04
884.2, 1.05624, 4.90E-04
886.5, 0.89321, 4.77E-04
888.1, 0.90449, 4.80E-04
889.9, 0.92754, 4.34E-04
892.7, 0.97022, 5.19E-04
894.5, 0.96546, 5.13E-04
895.6, 0.94235, 5.52E-04
897.8, 0.89646, 5.54E-04
899.7, 0.63876, 4.32E-04
901.5, 0.83598, 5.57E-04
904.3, 1.01737, 4.55E-04
905.7, 0.92842, 5.09E-04
908.1, 0.99144, 4.37E-04
909.5, 0.80138, 4.44E-04
911.7, 0.83440, 5.27E-04
914.2, 0.96590, 5.24E-04
915.9, 0.68061, 4.87E-04
918.2, 0.74392, 4.32E-04
919.6, 0.97752, 4.41E-04
922.1, 0.92416, 5.22E-04
923.8, 0.86544, 5.47E-04
926.5, 0.89017, 4.48E-04
928.5, 0.65702, 4.90E-04
930.4, 1.07623, 4.44E-04
931.8, 0.73435, 4.52E-04
934.2, 0.73984, 5.17E-04
936.2, 0.57461, 4.87E-04
938.1, 0.98187, 4.79E-04
940.9, 1.08964, 4.86E-04
942.2, 0.86043, 5.38E-04
943.9, 0.86135, 5.52E-04
945.8, 0.88147, 5.52E-04
948.1, 0.82505, 5.12E-04
949.8, 1.27129, 4.52E-04
951.6, 0.95273, 5.65E-04
954.1, 0.87560, 4.23E-04
954.9, 0.78618, 4.95E-04
957.7, 0.64997, 4.54E-04
959.8, 0.77746, 4.22E-04
962.0, 0.77475, 4.63E-04
964.4, 0.73168, 4.78E-04
965.9, 1.20164, 4.50E-04
968.2, 1.09667, 5.08E-04
970.0, 1.03527, 5.06E-04
972.4, 0.88164, 4.50E-04
973.5, 0.99309, 4.40E-04
976.0, 1.18106, 4.94E-04
977.8, 0.75401, 4.84E-04
979.3, 0.93561, 5.56E-04
982.1, 0.69148, 4.92E-04
983.6, 0.55247, 4.46E-04
985.7, 0.62250, 4.82E-04
988.0, 0.79735, 4.32E-04
989.7, 0.71283, 4.23E-04
992.4, 1.02214, 5.19E-04
993.6, 0.75833, 4.57E-04
995.9, 0.35289, 4.87E-04
998.4, 0.72643, 4.31E-04
999.9, 0.98240, 5.64E-04
1002.0, 1.00590, 5.64E-04
1004.2, 0.79189, 5.50E-04
1005.8, 0.68876, 5.27E-04
1008.4, 0.96740, 4.90E-04
