# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 52300nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
287.8, 0.70777, 4.37E-04
290.3, 0.70838, 4.51E-04
292.6, 0.71020, 4.96E-04
294.0, 0.71269, 5.77E-04
296.0, 0.71204, 5.63E-04
297.7, 0.71303, 4.33E-04
300.1, 0.71810, 4.84E-04
302.5, 0.71616, 5.46E-04
304.5, 0.71582, 5.57E-04
305.1, 0.71825, 4.93E-04
308.1, 0.72333, 4.91E-04
310.0, 0.71814, 4.32E-04
311.7, 0.72508, 5.67E-04
313.8, 0.72388, 4.67E-04
316.1, 0.72609, 5.39E-04
318.1, 0.72535, 5.17E-04
320.0, 0.72964, 5.68E-04
322.2, 0.72747, 5.72E-04
324.1, 0.72858, 5.66E-04
325.8, 0.73017, 4.55E-04
327.6, 0.73052, 5.28E-04
329.7, 0.73405, 4.83E-04
332.0, 0.73641, 4.99E-04
333.8, 0.73345, 5.09E-04
335.6, 0.74162, 5.50E-04
337.7, 0.73813, 4.51E-04
340.2, 0.74645, 5.04E-04
341.7, 0.74380, 5.65E-04
343.8, 0.74337, 5.44E-04
346.3, 0.74309, 5.67E-04
348.6, 0.74410, 4.40E-04
350.2, 0.74930, 4.53E-04
351.7, 0.75002, 4.37E-04
353.9, 0.74335, 5.04E-04
355.8, 0.75197, 5.19E-04
358.4, 0.75242, 4.88E-04
360.9, 0.75503, 5.53E-04
362.1, 0.75509, 4.85E-04
363.9, 0.75028, 5.41E-04
366.5, 0.74779, 5.62E-04
367.8, 0.75574, 4.72E-04
369.8, 0.75636, 5.04E-04
371.9, 0.75672, 5.20E-04
374.5, 0.75688, 4.86E-04
376.3, 0.76639, 5.29E-04
378.5, 0.75746, 4.52E-04
379.6, 0.75951, 4.58E-04
381.3, 0.76350, 5.71E-04
383.5, 0.76321, 5.14E-04
385.8, 0.76407, 4.49E-04
387.9, 0.76424, 5.68E-04
389.7, 0.76647, 4.34E-04
392.0, 0.77383, 5.80E-04
395.0, 0.77025, 4.51E-04
396.3, 0.76711, 4.85E-04
398.0, 0.77170, 5.28E-04
399.9, 0.77677, 4.58E-04
402.6, 0.77525, 5.03E-04
404.0, 0.77630, 4.73E-04
406.2, 0.76841, 5.22E-04
408.1, 0.77489, 5.72E-04
409.6, 0.77746, 5.07E-04
412.4, 0.77460, 4.71E-04
413.8, 0.76557, 5.30E-04
416.2, 0.78405, 4.55E-04
418.2, 0.78072, 5.51E-04
420.6, 0.78476, 4.97E-04
422.7, 0.78439, 5.08E-04
424.2, 0.78619, 5.33E-04
425.7, 0.77878, 4.50E-04
428.3, 0.78854, 5.41E-04
430.1, 0.78762, 5.21E-04
432.6, 0.78549, 5.15E-04
433.6, 0.78795, 5.73E-04
435.5, 0.78216, 4.30E-04
438.3, 0.77810, 5.21E-04
440.3, 0.77448, 5.48E-04
442.0, 0.75521, 4.86E-04
444.0, 0.80204, 4.31E-04
445.8, 0.79037, 4.89E-04
447.7, 0.79404, 5.51E-04
450.2, 0.78714, 5.45E-04
452.1, 0.79040, 4.73E-04
454.1, 0.80622, 4.93E-04
456.4, 0.79391, 5.45E-04
458.2, 0.78532, 5.79E-04
460.1, 0.79603, 5.10E-04
461.9, 0.79221, 5.19E-04
463.6, 0.78502, 5.48E-04
465.8, 0.80653, 5.06E-04
468.3, 0.80569, 5.51E-04
470.4, 0.81627, 5.60E-04
471.8, 0.78608, 5.27E-04
473.9, 0.81332, 5.00E-04
476.1, 0.81402, 4.56E-04
478.0, 0.81330, 5.42E-04
480.4, 0.80338, 4.77E-04
482.0, 0.79499, 4.43E-04
484.2, 0.79960, 5.62E-04
485.9, 0.81524, 5.15E-04
488.0, 0.81647, 5.24E-04
490.4, 0.80235, 5.19E-04
492.0, 0.83061, 4.90E-04
494.1, 0.78793, 5.69E-04
495.6, 0.81611, 5.17E-04
497.9, 0.81416, 5.02E-04
499.8, 0.80097, 4.74E-04
502.2, 0.80865, 5.15E-04
503.8, 0.80649, 5.02E-04
506.2, 0.81707, 4.60E-04
508.2, 0.80513, 5.40E-04
510.3, 0.81157, 4.38E-04
512.4, 0.80193, 5.38E-04
513.2, 0.81255, 5.07E-04
516.0, 0.81812, 5.15E-04
517.9, 0.82660, 5.31E-04
519.4, 0.80776, 4.42E-04
522.1, 0.79741, 5.73E-04
524.5, 0.80995, 4.69E-04
526.1, 0.81778, 4.95E-04
528.7, 0.82870, 5.08E-04
530.6, 0.81078, 5.61E-04
531.9, 0.82785, 5.07E-04
534.2, 0.82219, 5.07E-04
536.2, 0.81811, 5.19E-04
538.8, 0.80764, 4.73E-04
540.0, 0.82019, 4.67E-04
542.4, 0.84580, 4.61E-04
544.4, 0.81582, 5.04E-04
545.4, 0.81808, 5.77E-04
547.7, 0.83291, 5.80E-04
550.1, 0.82908, 5.76E-04
551.9, 0.80579, 4.80E-04
554.0, 0.82675, 4.35E-04
556.3, 0.85506, 4.64E-04
558.3, 0.83165, 5.17E-04
560.5, 0.81721, 5.40E-04
561.9, 0.81152, 5.16E-04
564.2, 0.84377, 4.72E-04
566.1, 0.79672, 4.54E-04
568.2, 0.82271, 4.62E-04
569.5, 0.80796, 4.80E-04
571.8, 0.86289, 5.77E-04
574.2, 0.84815, 4.58E-04
576.2, 0.84124, 5.07E-04
578.2, 0.84435, 5.41E-04
579.7, 0.78794, 5.11E-04
582.4, 0.83252, 5.80E-04
584.4, 0.85300, 5.78E-04
586.3, 0.80584, 4.79E-04
587.5, 0.81608, 4.76E-04
589.2, 0.83644, 5.10E-04
592.6, 0.83335, 4.99E-04
594.1, 0.80654, 5.01E-04
596.4, 0.83043, 5.37E-04
598.6, 0.80265, 4.36E-04
600.1, 0.85899, 4.62E-04
602.1, 0.80608, 5.24E-04
604.2, 0.80115, 4.59E-04
605.9, 0.84448, 5.57E-04
607.7, 0.81531, 4.50E-04
610.8, 0.86350, 4.82E-04
612.5, 0.84237, 5.01E-04
614.5, 0.87763, 4.86E-04
615.9, 0.83259, 4.75E-04
618.1, 0.85745, 4.92E-04
620.5, 0.84446, 4.70E-04
622.6, 0.89074, 4.68E-04
624.2, 0.80334, 4.38E-04
626.6, 0.89743, 4.52E-04
628.3, 0.79291, 5.36E-04
629.9, 0.84336, 5.51E-04
632.0, 0.85692, 4.66E-04
633.8, 0.82584, 4.99E-04
635.9, 0.85918, 4.55E-04
638.2, 0.81701, 5.08E-04
640.0, 0.84957, 4.87E-04
642.3, 0.83993, 5.25E-04
643.7, 0.82970, 4.77E-04
646.1, 0.88326, 5.45E-04
648.0, 0.84785, 4.79E-04
649.8, 0.83826, 5.30E-04
651.9, 0.83086, 5.25E-04
654.3, 0.84368, 4.96E-04
656.4, 0.81318, 5.72E-04
658.3, 0.85502, 4.95E-04
660.2, 0.77727, 4.76E-04
662.2, 0.81923, 5.16E-04
665.0, 0.88425, 4.34E-04
666.3, 0.87743, 5.79E-04
667.8, 0.84374, 4.78E-04
670.2, 0.84708, 4.41E-04
672.4, 0.83625, 5.53E-04
674.0, 0.84119, 4.93E-04
676.3, 0.86291, 5.73E-04
678.1, 0.82206, 4.50E-04
680.2, 0.95174, 5.32E-04
682.3, 0.85985, 5.74E-04
683.7, 0.78414, 5.80E-04
685.6, 0.78837, 5.69E-04
687.9, 0.85266, 4.63E-04
689.5, 0.91918, 5.65E-04
692.5, 0.92140, 4.85E-04
693.5, 0.88967, 5.03E-04
696.0, 0.82636, 5.15E-04
698.6, 0.95759, 5.53E-04
699.4, 0.89068, 4.78E-04
701.8, 0.86172, 4.83E-04
704.3, 0.82157, 4.88E-04
706.2, 0.87184, 5.18E-04
708.8, 0.81889, 5.74E-04
709.9, 0.86379, 5.31E-04
712.8, 0.78268, 4.86E-04
713.9, 0.82146, 4.91E-04
715.9, 0.81877, 5.46E-04
718.1, 0.94584, 5.43E-04
720.1, 0.90747, 5.69E-04
722.2, 0.88148, 4.93E-04
724.0, 0.86711, 5.01E-04
726.1, 0.82101, 5.29E-04
728.0, 0.71780, 5.15E-04
730.4, 0.88462, 4.62E-04
731.9, 0.93267, 5.00E-04
734.0, 0.81148, 5.71E-04
736.3, 0.90806, 4.63E-04
738.0, 0.79951, 4.53E-04
739.4, 0.83582, 5.58E-04
742.3, 0.94377, 5.00E-04
744.2, 0.79014, 4.88E-04
746.5, 0.93414, 4.40E-04
748.3, 0.84542, 5.05E-04
750.1, 0.84063, 5.64E-04
751.5, 0.95728, 5.28E-04
754.1, 0.90315, 4.34E-04
756.5, 0.91646, 4.54E-04
757.8, 0.90715, 5.35E-04
760.4, 0.82774, 5.32E-04
761.9, 0.90691, 4.67E-04
764.3, 0.85589, 4.60E-04
766.0, 0.96436, 4.50E-04
767.9, 0.92127, 4.37E-04
769.7, 0.78195, 4.93E-04
772.3, 0.83896, 5.75E-04
773.8, 0.91585, 4.63E-04
775.2, 0.82047, 4.58E-04
778.2, 0.77363, 4.42E-04
780.1, 1.02584, 5.66E-04
782.2, 0.83365, 4.92E-04
783.5, 0.79073, 5.14E-04
786.7, 0.79076, 5.17E-04
787.8, 0.84766, 4.88E-04
789.7, 0.98415, 5.06E-04
792.4, 0.85233, 4.65E-04
794.2, 0.85423, 5.78E-04
795.7, 1.05139, 5.61E-04
797.8, 0.92151, 5.32E-04
799.9, 0.71150, 4.41E-04
802.2, 1.02829, 5.20E-04
803.8, 0.85441, 5.51E-04
806.4, 0.72182, 4.55E-04
808.0, 1.00382, 5.36E-04
810.2, 0.90085, 5.54E-04
811.6, 0.99235, 5.61E-04
814.1, 0.86292, 5.67E-04
815.7, 1.04137, 5.28E-04
817.9, 1.00024, 5.06E-04
819.5, 0.93766, 4.41E-04
821.7, 0.79372, 5.70E-04
823.9, 0.89300, 5.45E-04
825.3, 0.79011, 5.72E-04
827.8, 0.90470, 4.50E-04
830.1, 0.91437, 4.47E-04
831.9, 1.01235, 5.28E-04
833.6, 0.78482, 5.60E-04
836.2, 0.97274, 5.33E-04
838.1, 0.79647, 4.96E-04
839.9, 0.77936, 5.11E-04
842.3, 0.84339, 5.34E-04
844.3, 0.89525, 5.04E-04
846.2, 0.90539, 5.64E-04
848.0, 0.79453, 5.59E-04
850.2, 0.80377, 4.76E-04
851.8, 0.91546, 5.02E-04
853.4, 0.92999, 5.43E-04
856.0, 0.81437, 5.54E-04
857.5, 1.13621, 4.32E-04
860.2, 0.67892, 5.39E-04
861.9, 0.78481, 4.39E-04
864.0, 0.96640, 4.57E-04
866.0, 0.83503, 4.90E-04
868.3, 0.99175, 5.26E-04
870.1, 0.99196, 5.66E-04
871.7, 0.83901, 4.52E-04
874.7, 0.92887, 5.80E-04
876.5, 0.71340, 4.81E-04
878.0, 1.00125, 4.89E-04
880.0, 0.93628, 4.30E-04
881.8, 0.84218, 5.48E-04
884.0, 1.08927, 4.44E-04
886.1, 0.89095, 4.42E-04
887.5, 0.69257, 4.92E-04
889.7, 1.08368, 5.46E-04
891.2, 0.87723, 5.41E-04
893.6, 0.82249, 4.92E-04
896.5, 0.83413, 5.59E-04
897.4, 0.71405, 5.03E-04
899.5, 0.83647, 4.89E-04
902.4, 0.72430, 4.94E-04
904.2, 0.97833, 5.01E-04
906.1, 0.86323, 5.35E-04
908.2, 0.88503, 5.35E-04
910.7, 0.61679, 5.51E-04
912.0, 0.84412, 5.48E-04
913.6, 1.05905, 4.75E-04
915.9, 0.92799, 5.65E-04
917.5, 1.07248, 4.35E-04
920.5, 0.83798, 4.37E-04
922.5, 0.88901, 5.70E-04
924.3, 0.64195, 5.04E-04
926.3, 0.92635, 4.74E-04
927.3, 0.78650, 4.96E-04
929.0, 1.00318, 5.63E-04
931.8, 0.78104, 5.15E-04
933.6, 0.79556, 4.62E-04
935.9, 0.78366, 4.87E-04
938.1, 0.80795, 5.39E-04
940.6, 1.00097, 5.19E-04
941.8, 0.89488, 4.88E-04
944.1, 1.06402, 4.59E-04
946.8, 0.57372, 5.75E-04
947.9, 0.88278, 4.38E-04
950.5, 1.07974, 4.40E-04
951.9, 1.09070, 4.38E-04
953.4, 1.04088, 5.31E-04
955.9, 0.91060, 5.07E-04
958.0, 0.86159, 5.09E-04
959.5, 1.04982, 5.52E-04
962.0, 0.91867, 5.38E-04
964.0, 0.72216, 5.14E-04
966.0, 0.92600, 4.33E-04
967.9, 0.94579, 4.70E-04
970.1, 0.99664, 4.62E-04
971.8, 0.96637, 5.33E-04
974.1, 1.12520, 4.85E-04
976.2, 0.91266, 4.75E-04
977.6, 1.07655, 5.55E-04
980.4, 1.18684, 5.43E-04
981.5, 0.81966, 4.94E-04
984.3, 0.45555, 5.01E-04
986.8, 1.35673, 5.21E-04
988.3, 0.77441, 5.40E-04
990.1, 0.59174, 4.56E-04
991.7, 0.63209, 4.89E-04
994.2, 0.90214, 4.37E-04
996.0, 0.78452, 5.72E-04
998.7, 1.06050, 5.50E-04
999.8, 1.11274, 5.23E-04
