# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 102300nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
745.8, 0.80722, 4.46E-04
747.8, 0.78012, 5.56E-04
750.0, 0.76391, 5.04E-04
751.8, 0.82422, 5.20E-04
753.9, 0.84518, 5.45E-04
755.7, 0.92988, 5.22E-04
757.7, 0.81190, 5.20E-04
760.3, 0.83803, 4.85E-04
762.0, 0.84757, 5.27E-04
764.3, 0.83497, 4.65E-04
766.1, 0.72557, 4.20E-04
767.8, 0.88248, 5.31E-04
770.0, 0.94871, 4.66E-04
772.0, 0.91302, 4.88E-04
774.2, 0.81077, 5.44E-04
775.8, 0.82616, 4.55E-04
778.1, 0.81854, 4.22E-04
780.1, 0.74121, 5.37E-04
781.9, 0.92086, 4.27E-04
783.6, 0.68030, 5.49E-04
786.6, 0.86109, 5.28E-04
788.1, 0.86243, 5.30E-04
789.7, 0.86985, 4.28E-04
792.0, 0.99423, 5.37E-04
794.0, 0.98157, 5.10E-04
795.9, 0.77349, 4.50E-04
798.2, 0.92762, 5.45E-04
799.8, 0.91195, 4.70E-04
801.9, 1.02898, 4.87E-04
804.7, 0.89488, 5.14E-04
806.2, 0.87438, 4.24E-04
807.9, 0.85269, 5.17E-04
810.0, 0.99298, 4.45E-04
811.9, 0.83899, 5.47E-04
814.0, 0.92646, 4.30E-04
816.3, 0.81966, 4.48E-04
817.9, 0.79879, 5.26E-04
820.0, 0.76396, 4.69E-04
821.8, 0.80090, 5.60E-04
823.9, 0.84730, 5.19E-04
826.0, 0.83095, 4.92E-04
827.9, 0.80334, 4.42E-04
829.6, 0.81534, 5.31E-04
832.0, 0.97252, 5.42E-04
833.5, 0.80803, 4.72E-04
835.8, 0.78614, 4.94E-04
837.6, 0.79652, 5.40E-04
840.5, 0.91547, 5.07E-04
842.1, 0.89257, 4.73E-04
843.7, 0.96525, 4.74E-04
845.6, 1.03605, 4.94E-04
847.8, 0.79736, 4.98E-04
850.1, 0.86788, 4.77E-04
852.1, 1.25908, 5.46E-04
854.1, 0.84656, 4.76E-04
856.2, 0.89757, 5.26E-04
857.9, 0.83961, 4.42E-04
860.6, 0.83667, 5.47E-04
862.2, 0.94180, 4.29E-04
863.7, 0.95338, 4.95E-04
866.1, 0.79013, 4.25E-04
868.4, 0.86686, 4.40E-04
869.8, 0.89476, 5.32E-04
872.0, 0.86459, 4.39E-04
873.8, 0.78500, 5.05E-04
876.5, 0.95758, 4.31E-04
878.0, 0.82767, 5.57E-04
880.1, 0.80838, 4.92E-04
882.2, 0.86619, 4.97E-04
884.3, 0.71006, 4.26E-04
885.9, 0.86715, 4.50E-04
887.9, 0.63348, 4.90E-04
889.9, 0.96550, 4.77E-04
892.5, 0.75379, 4.80E-04
894.1, 0.96789, 4.34E-04
895.8, 0.96977, 5.19E-04
897.9, 0.87411, 5.13E-04
900.1, 0.90651, 5.52E-04
901.8, 0.70214, 5.54E-04
903.9, 0.63199, 4.32E-04
906.2, 0.87879, 5.57E-04
907.9, 0.94306, 4.55E-04
910.1, 0.95617, 5.09E-04
911.5, 0.81927, 4.37E-04
914.3, 0.95905, 4.44E-04
915.5, 0.92360, 5.27E-04
917.4, 0.86178, 5.24E-04
919.7, 0.88908, 4.87E-04
921.8, 1.15318, 4.32E-04
924.0, 0.94245, 4.41E-04
926.4, 0.88492, 5.22E-04
928.3, 0.76758, 5.47E-04
929.6, 1.01340, 4.48E-04
931.8, 0.83522, 4.90E-04
933.8, 0.83915, 4.44E-04
936.4, 0.68596, 4.52E-04
938.1, 0.64544, 5.17E-04
940.7, 0.94237, 4.87E-04
942.0, 0.94897, 4.79E-04
944.0, 0.95251, 4.86E-04
946.0, 0.93287, 5.38E-04
947.8, 0.86394, 5.52E-04
949.2, 0.94445, 5.52E-04
952.6, 0.73319, 5.12E-04
953.7, 1.12249, 4.52E-04
955.9, 0.74168, 5.65E-04
957.9, 0.96690, 4.23E-04
960.0, 0.90950, 4.95E-04
962.3, 0.90164, 4.54E-04
964.4, 0.92245, 4.22E-04
966.4, 0.95937, 4.63E-04
967.5, 0.91271, 4.78E-04
970.4, 0.78999, 4.50E-04
972.1, 0.76146, 5.08E-04
974.2, 1.07993, 5.06E-04
975.9, 0.99299, 4.50E-04
977.8, 0.74836, 4.40E-04
980.1, 0.80338, 4.94E-04
982.1, 1.07104, 4.84E-04
984.1, 0.87767, 5.56E-04
985.6, 0.77298, 4.92E-04
987.7, 0.73021, 4.46E-04
990.0, 0.96091, 4.82E-04
991.9, 1.11248, 4.32E-04
994.1, 1.00657, 4.23E-04
996.2, 0.95032, 5.19E-04
