# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 10500nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
328.1, 0.73129, 3.73E-04
329.7, 0.73291, 3.63E-04
332.0, 0.73556, 3.59E-04
334.0, 0.73431, 4.25E-04
336.0, 0.73550, 3.80E-04
337.7, 0.73802, 4.21E-04
340.8, 0.74265, 4.32E-04
342.3, 0.74353, 4.17E-04
344.7, 0.74437, 3.71E-04
345.5, 0.74291, 4.14E-04
348.3, 0.74390, 3.79E-04
350.1, 0.74867, 3.75E-04
352.4, 0.74543, 4.07E-04
353.6, 0.74864, 4.20E-04
356.5, 0.74810, 4.16E-04
358.0, 0.74390, 3.56E-04
360.7, 0.75452, 4.03E-04
362.0, 0.75122, 4.32E-04
363.9, 0.75693, 3.91E-04
365.6, 0.75893, 4.26E-04
368.5, 0.75643, 4.38E-04
370.0, 0.75168, 4.10E-04
372.3, 0.75166, 3.72E-04
374.1, 0.76197, 4.25E-04
376.2, 0.76298, 4.15E-04
377.6, 0.75715, 3.59E-04
379.3, 0.76047, 3.71E-04
382.2, 0.76407, 3.64E-04
383.9, 0.76349, 4.46E-04
386.0, 0.75999, 4.49E-04
387.4, 0.77604, 4.24E-04
389.8, 0.76029, 3.87E-04
392.1, 0.76686, 3.77E-04
394.4, 0.77230, 4.02E-04
396.2, 0.77606, 3.85E-04
398.0, 0.76318, 4.42E-04
399.7, 0.76624, 4.06E-04
402.2, 0.76937, 3.86E-04
404.1, 0.77685, 4.49E-04
405.5, 0.77050, 4.48E-04
407.5, 0.78571, 4.06E-04
409.9, 0.76619, 3.98E-04
412.6, 0.77480, 3.85E-04
414.0, 0.77486, 4.06E-04
416.6, 0.78361, 3.90E-04
417.9, 0.77159, 3.70E-04
420.0, 0.77030, 4.06E-04
422.0, 0.77610, 3.88E-04
423.7, 0.78240, 3.83E-04
425.6, 0.77274, 4.33E-04
427.9, 0.78401, 3.78E-04
430.0, 0.77866, 4.54E-04
431.8, 0.78958, 3.75E-04
433.9, 0.78230, 3.81E-04
436.3, 0.79457, 4.31E-04
437.7, 0.80264, 3.79E-04
439.6, 0.78059, 4.05E-04
441.5, 0.78461, 4.48E-04
443.6, 0.80143, 3.61E-04
445.9, 0.80860, 4.09E-04
447.5, 0.79295, 3.80E-04
449.4, 0.78926, 4.06E-04
451.4, 0.79952, 3.97E-04
453.7, 0.78624, 3.58E-04
456.2, 0.80123, 4.37E-04
458.0, 0.80564, 4.46E-04
459.6, 0.79470, 4.10E-04
462.3, 0.78972, 4.07E-04
463.7, 0.79328, 4.41E-04
466.2, 0.79388, 4.53E-04
467.9, 0.78446, 4.08E-04
470.1, 0.79974, 3.91E-04
471.9, 0.77180, 4.42E-04
474.0, 0.81388, 3.91E-04
475.6, 0.79023, 4.11E-04
477.7, 0.80006, 3.82E-04
480.0, 0.79183, 3.61E-04
481.3, 0.80811, 4.40E-04
483.9, 0.78923, 4.28E-04
486.1, 0.82178, 4.06E-04
488.2, 0.81792, 3.69E-04
489.3, 0.80954, 4.30E-04
491.7, 0.80356, 4.51E-04
493.6, 0.80448, 3.97E-04
495.9, 0.81260, 4.37E-04
498.7, 0.80248, 3.93E-04
499.9, 0.81979, 4.21E-04
501.8, 0.81783, 4.03E-04
504.0, 0.79452, 4.52E-04
505.6, 0.80485, 3.59E-04
507.9, 0.80687, 3.83E-04
510.2, 0.81084, 4.27E-04
512.0, 0.81499, 4.46E-04
513.9, 0.82939, 3.72E-04
516.0, 0.83050, 4.05E-04
517.8, 0.82476, 4.27E-04
520.2, 0.80226, 4.12E-04
522.2, 0.83127, 4.39E-04
524.2, 0.83510, 3.60E-04
525.6, 0.81050, 4.15E-04
528.1, 0.81071, 3.98E-04
530.1, 0.80326, 4.08E-04
532.3, 0.77903, 4.52E-04
533.9, 0.82067, 4.12E-04
535.7, 0.79446, 3.81E-04
537.8, 0.81600, 3.80E-04
540.0, 0.80591, 4.06E-04
542.3, 0.82858, 3.89E-04
544.5, 0.81579, 4.23E-04
546.1, 0.82299, 4.31E-04
548.9, 0.79460, 4.40E-04
549.7, 0.79954, 4.39E-04
551.5, 0.79671, 4.53E-04
554.4, 0.84696, 4.22E-04
555.7, 0.83216, 4.30E-04
557.5, 0.82592, 4.35E-04
560.2, 0.82080, 4.47E-04
562.1, 0.84867, 4.49E-04
563.9, 0.84227, 3.70E-04
566.0, 0.81538, 4.23E-04
567.9, 0.86796, 4.52E-04
570.3, 0.84624, 4.50E-04
571.8, 0.82538, 4.18E-04
574.0, 0.85637, 4.29E-04
576.0, 0.79615, 4.49E-04
578.0, 0.82474, 3.77E-04
579.8, 0.82317, 4.03E-04
582.5, 0.80672, 4.52E-04
584.6, 0.81061, 4.10E-04
585.5, 0.82735, 3.55E-04
587.8, 0.85142, 3.94E-04
589.9, 0.85580, 4.50E-04
592.0, 0.81672, 3.83E-04
594.3, 0.84312, 4.43E-04
596.6, 0.80087, 4.17E-04
597.8, 0.83305, 4.25E-04
600.2, 0.82066, 3.85E-04
602.3, 0.87701, 3.97E-04
604.1, 0.82588, 4.19E-04
606.4, 0.83386, 4.10E-04
608.0, 0.84504, 4.23E-04
609.9, 0.87424, 3.59E-04
612.2, 0.81662, 4.08E-04
613.6, 0.87290, 3.78E-04
616.3, 0.86128, 3.73E-04
617.4, 0.84559, 3.60E-04
620.5, 0.80114, 4.10E-04
621.4, 0.77339, 4.46E-04
624.4, 0.82348, 4.30E-04
626.1, 0.86384, 3.88E-04
628.4, 0.79004, 4.12E-04
629.7, 0.86382, 3.96E-04
631.2, 0.89345, 4.46E-04
633.6, 0.86053, 3.51E-04
635.7, 0.82451, 4.24E-04
638.3, 0.91378, 3.65E-04
640.1, 0.82639, 3.53E-04
642.5, 0.91365, 4.21E-04
644.5, 0.87750, 3.91E-04
646.4, 0.89334, 4.43E-04
648.5, 0.82449, 4.43E-04
650.3, 0.86015, 4.35E-04
651.8, 0.82942, 3.57E-04
654.3, 0.85525, 4.08E-04
656.2, 0.92997, 3.99E-04
657.9, 0.85279, 3.54E-04
660.0, 0.81193, 4.36E-04
662.0, 0.81671, 4.40E-04
663.9, 0.82173, 4.44E-04
665.3, 0.83407, 3.86E-04
668.0, 0.84660, 3.63E-04
670.2, 0.79892, 3.94E-04
672.2, 0.84506, 3.52E-04
673.8, 0.84637, 4.11E-04
675.9, 0.89296, 3.92E-04
677.9, 0.80322, 4.21E-04
679.9, 0.85449, 4.22E-04
681.9, 0.88060, 4.08E-04
683.6, 0.92956, 3.76E-04
686.1, 0.82194, 3.77E-04
688.3, 0.78968, 3.74E-04
689.8, 0.88643, 3.61E-04
691.9, 0.92932, 4.13E-04
693.8, 0.77907, 4.24E-04
696.1, 0.80577, 4.50E-04
698.1, 0.85147, 4.39E-04
699.7, 0.91340, 3.92E-04
702.4, 0.81451, 4.34E-04
703.8, 0.88282, 3.80E-04
705.5, 0.80602, 4.31E-04
708.5, 0.88853, 4.42E-04
710.0, 0.88720, 4.13E-04
712.3, 0.81738, 4.24E-04
714.1, 0.87090, 4.46E-04
716.0, 0.91662, 3.87E-04
717.8, 0.74906, 3.88E-04
720.2, 0.94348, 3.67E-04
722.0, 0.79913, 4.38E-04
724.1, 0.78591, 3.54E-04
725.4, 0.93739, 4.09E-04
728.2, 0.98676, 3.53E-04
729.6, 0.90324, 4.29E-04
731.8, 0.75249, 3.66E-04
733.8, 0.79942, 3.84E-04
736.1, 0.86002, 4.50E-04
737.1, 0.93972, 3.82E-04
739.9, 0.83919, 4.51E-04
740.7, 0.87382, 4.24E-04
744.8, 0.92210, 4.21E-04
745.9, 0.83282, 3.69E-04
747.7, 0.80237, 4.18E-04
750.2, 0.80340, 3.59E-04
752.1, 0.83915, 4.11E-04
754.2, 0.98190, 3.53E-04
755.8, 0.82908, 3.60E-04
758.8, 0.90050, 3.83E-04
760.6, 0.85892, 3.62E-04
762.0, 0.86162, 3.78E-04
763.7, 0.89207, 4.51E-04
765.6, 0.85998, 3.84E-04
768.0, 0.82635, 4.10E-04
769.8, 0.92642, 3.75E-04
772.1, 0.88836, 4.49E-04
773.9, 0.86010, 3.93E-04
775.8, 0.78070, 4.55E-04
777.6, 0.89847, 3.62E-04
779.6, 0.74786, 3.92E-04
782.0, 0.86913, 3.93E-04
785.0, 0.84935, 4.34E-04
786.2, 0.84921, 4.50E-04
787.5, 0.82123, 4.17E-04
790.0, 0.98081, 3.65E-04
792.3, 0.83602, 3.87E-04
794.4, 1.05030, 3.93E-04
795.3, 0.78464, 3.72E-04
798.5, 0.80225, 3.55E-04
800.0, 0.94770, 4.42E-04
802.1, 0.91350, 3.93E-04
803.7, 0.81550, 3.77E-04
806.2, 0.93709, 3.85E-04
808.0, 0.65632, 4.17E-04
810.2, 0.81086, 3.89E-04
812.5, 0.89134, 3.84E-04
814.1, 0.85964, 4.26E-04
816.1, 0.70845, 3.71E-04
818.0, 0.89822, 3.73E-04
820.1, 0.89263, 3.63E-04
821.6, 0.85685, 4.38E-04
823.8, 0.91836, 3.83E-04
825.8, 1.10587, 4.35E-04
828.3, 0.92159, 3.53E-04
829.8, 0.90710, 3.58E-04
832.1, 1.06108, 3.92E-04
834.5, 0.85627, 3.95E-04
836.0, 0.80320, 3.67E-04
837.7, 0.75583, 4.48E-04
840.1, 0.84981, 4.05E-04
841.9, 0.84227, 3.77E-04
844.2, 0.98752, 3.68E-04
846.6, 0.81883, 4.35E-04
848.0, 0.67711, 4.02E-04
850.0, 0.93626, 4.52E-04
851.9, 0.90290, 4.43E-04
853.9, 0.86796, 4.42E-04
856.0, 0.83175, 4.21E-04
858.0, 1.03196, 3.70E-04
860.4, 0.86189, 4.36E-04
861.8, 0.83773, 4.32E-04
863.9, 0.91443, 3.61E-04
865.9, 0.83258, 4.40E-04
867.7, 0.94273, 4.04E-04
870.2, 0.64209, 3.84E-04
871.7, 0.96553, 4.20E-04
873.4, 0.69892, 3.96E-04
876.6, 0.96524, 3.79E-04
878.0, 0.68417, 3.87E-04
880.0, 1.06196, 4.53E-04
882.2, 1.13797, 4.15E-04
884.1, 0.65040, 3.96E-04
886.0, 1.10105, 4.35E-04
887.7, 0.85662, 4.07E-04
889.8, 0.87114, 3.98E-04
892.6, 1.14934, 3.70E-04
893.9, 1.12266, 3.95E-04
896.4, 1.18805, 3.74E-04
898.5, 0.97844, 3.60E-04
899.8, 0.91635, 4.18E-04
902.3, 0.99024, 3.59E-04
903.8, 0.98119, 3.88E-04
906.2, 0.80529, 4.26E-04
907.8, 0.74928, 3.78E-04
910.5, 0.78465, 4.32E-04
911.8, 0.75852, 3.81E-04
914.3, 0.86460, 4.32E-04
915.7, 0.88411, 3.62E-04
918.1, 0.87277, 4.47E-04
920.1, 0.82342, 3.85E-04
921.8, 0.89383, 3.82E-04
924.1, 1.07355, 3.76E-04
925.9, 0.89758, 4.29E-04
928.6, 1.05078, 4.05E-04
930.3, 1.24683, 4.13E-04
931.9, 0.90706, 4.22E-04
934.6, 1.08172, 3.80E-04
936.1, 0.87907, 4.06E-04
937.7, 0.75381, 3.66E-04
940.5, 1.07405, 4.21E-04
942.4, 1.06575, 3.86E-04
943.9, 0.67473, 4.03E-04
945.5, 0.81970, 4.39E-04
948.6, 1.07223, 4.10E-04
950.1, 1.15278, 3.58E-04
952.1, 0.99152, 3.93E-04
953.9, 1.16950, 4.18E-04
955.8, 1.08007, 4.05E-04
958.0, 0.94612, 4.06E-04
959.9, 0.91885, 3.57E-04
962.2, 1.03318, 3.82E-04
963.8, 1.07602, 3.98E-04
965.5, 0.93583, 4.46E-04
967.9, 0.83684, 4.38E-04
970.2, 1.23558, 3.93E-04
972.2, 1.16032, 4.42E-04
974.2, 1.08531, 3.96E-04
976.0, 0.99343, 4.31E-04
978.0, 0.87093, 4.47E-04
979.8, 0.71674, 4.50E-04
982.1, 0.68042, 4.42E-04
984.8, 0.69408, 3.97E-04
986.4, 0.90693, 3.55E-04
