# R=4.3e-06
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
145.454545455, 2.95625e-08, -1.34973716998e-10, -1.355586203e-10, 0.00431476287423
141.843971631, 3.0315e-08, -1.26899142444e-10, -1.27465848468e-10, 0.00444594400162
138.408304498, 3.10675e-08, -1.19480105868e-10, -1.20029528277e-10, 0.00457739372276
135.135135135, 3.182e-08, -1.12649848738e-10, -1.13182804749e-10, 0.00470880724283
132.01320132, 3.25725e-08, -1.06349688964e-10, -1.06866960939e-10, 0.00484033577712
129.032258065, 3.3325e-08, -1.00527936576e-10, -1.01030272294e-10, 0.00497213070123
126.1829653, 3.40775e-08, -9.51389952577e-11, -9.56270432617e-11, 0.0051036609237
123.456790123, 3.483e-08, -9.01423680137e-11, -9.06167938621e-11, 0.00523551792284
120.84592145, 3.55825e-08, -8.55021733346e-11, -8.59635703796e-11, 0.00536735553231
118.343195266, 3.6335e-08, -8.11864581087e-11, -8.16353590747e-11, 0.00549885455358
115.942028986, 3.70875e-08, -7.71666228447e-11, -7.760358583e-11, 0.00563070611487
113.636363636, 3.784e-08, -7.34171759833e-11, -7.38426877236e-11, 0.00576240862005
111.420612813, 3.85925e-08, -6.9915229525e-11, -7.03297450132e-11, 0.00589388583992
109.289617486, 3.9345e-08, -6.6640201611e-11, -6.70441640854e-11, 0.00602531898039
107.238605898, 4.00975e-08, -6.3573572681e-11, -6.39674034836e-11, 0.00615674204738
105.263157895, 4.085e-08, -6.06986523196e-11, -6.10827365144e-11, 0.00628793365715
103.359173127, 4.16025e-08, -5.80003378161e-11, -5.83750449916e-11, 0.00641896165604
101.52284264, 4.2355e-08, -5.54649346379e-11, -5.58306395532e-11, 0.00655025481118
99.7506234414, 4.31075e-08, -5.30800947848e-11, -5.34371027781e-11, 0.006680900997
98.0392156863, 4.386e-08, -5.08345140946e-11, -5.11831518144e-11, 0.00681157192078
96.3855421687, 4.46125e-08, -4.87179499057e-11, -4.90585178753e-11, 0.00694207620584
94.7867298578, 4.5365e-08, -4.67210665631e-11, -4.70538402548e-11, 0.00707218985685
93.2400932401, 4.61175e-08, -4.48353002241e-11, -4.5160572925e-11, 0.00720258136381
91.7431192661, 4.687e-08, -4.30528898343e-11, -4.33709020495e-11, 0.00733238646546
90.2934537246, 4.76225e-08, -4.13666685286e-11, -4.16776729748e-11, 0.00746213557498
88.8888888889, 4.8375e-08, -3.97700912689e-11, -4.00743255191e-11, 0.00759174973707
87.5273522976, 4.91275e-08, -3.82571600345e-11, -3.85548364531e-11, 0.00772085802915
86.2068965517, 4.988e-08, -3.68223202932e-11, -3.7113668329e-11, 0.0078501546437
84.9256900212, 5.06325e-08, -3.54605391327e-11, -3.57457238548e-11, 0.0079781493085
83.6820083682, 5.1385e-08, -3.4167037676e-11, -3.44463051265e-11, 0.00810732673826
82.4742268041, 5.21375e-08, -3.29375225033e-11, -3.32110771745e-11, 0.00823685030846
81.3008130081, 5.289e-08, -3.17680839355e-11, -3.20360352868e-11, 0.00836406093464
80.1603206413, 5.36425e-08, -3.06549324882e-11, -3.09174756843e-11, 0.00849174100976
79.0513833992, 5.4395e-08, -2.95946684007e-11, -2.98519691527e-11, 0.00861922209215
77.9727095517, 5.51475e-08, -2.85841064783e-11, -2.88363373195e-11, 0.00874697914796
76.9230769231, 5.59e-08, -2.76203293838e-11, -2.78676312524e-11, 0.00887416179802
75.9013282732, 5.66525e-08, -2.67006002742e-11, -2.69431121368e-11, 0.0090008853235
74.9063670412, 5.7405e-08, -2.58223702219e-11, -2.60602338215e-11, 0.00912745454318
73.9371534196, 5.81575e-08, -2.49832802388e-11, -2.52166269956e-11, 0.00925368634128
72.9927007299, 5.891e-08, -2.41811220646e-11, -2.44100848677e-11, 0.00937984461321
72.0720720721, 5.96625e-08, -2.34138471657e-11, -2.36385501466e-11, 0.00950578523265
71.1743772242, 6.0415e-08, -2.26795473743e-11, -2.29001032248e-11, 0.00963121643386
70.2987697715, 6.11675e-08, -2.19764293884e-11, -2.21929514253e-11, 0.00975634258022
69.4444444444, 6.192e-08, -2.13028112449e-11, -2.15154191963e-11, 0.00988165508061
68.6106346484, 6.26725e-08, -2.06571516385e-11, -2.08659391804e-11, 0.010006141591
67.7966101695, 6.3425e-08, -2.00379657927e-11, -2.02430440555e-11, 0.0101308015867
67.0016750419, 6.41775e-08, -1.9443897272e-11, -1.96453590782e-11, 0.010254931224
