# R=0.000335
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
67.7966101695, 4.94125e-06, -8.55990270956e-15, -8.6094033269e-15, 0.00574959906728
67.0016750419, 4.999875e-06, -8.35401316799e-15, -8.40302828073e-15, 0.00583302960545
66.2251655629, 5.0585e-06, -8.15576082723e-15, -8.20430229152e-15, 0.00591658651269
65.4664484452, 5.117125e-06, -7.9647508329e-15, -8.01282988759e-15, 0.00600025900491
64.7249190939, 5.17575e-06, -7.7806159781e-15, -7.82824215281e-15, 0.00608389134934
64, 5.234375e-06, -7.60301071688e-15, -7.65019455964e-15, 0.00616766572301
63.2911392405, 5.293e-06, -7.43161450631e-15, -7.47836500539e-15, 0.00625143317303
62.5978090767, 5.351625e-06, -7.26612574837e-15, -7.31245203067e-15, 0.00633525965126
61.919504644, 5.41025e-06, -7.10626171887e-15, -7.1521732013e-15, 0.00641923526399
61.2557427259, 5.468875e-06, -6.95175936414e-15, -6.9972636369e-15, 0.0065031525361
60.6060606061, 5.5275e-06, -6.80236891889e-15, -6.84747467166e-15, 0.00658720987395
59.9700149925, 5.586125e-06, -6.65785711006e-15, -6.70257263372e-15, 0.00667139710335
59.3471810089, 5.64475e-06, -6.51800525556e-15, -6.56233773179e-15, 0.0067555919919
58.7371512482, 5.703375e-06, -6.38260575445e-15, -6.42656303821e-15, 0.00683993660319
58.1395348837, 5.762e-06, -6.25146458278e-15, -6.29505355925e-15, 0.00692432177961
57.5539568345, 5.820625e-06, -6.12439809803e-15, -6.1676253842e-15, 0.00700874055746
56.9800569801, 5.87925e-06, -6.00123191105e-15, -6.04410490579e-15, 0.00709335714853
56.4174894217, 5.937875e-06, -5.8818032365e-15, -5.92432810514e-15, 0.0071780070044
55.8659217877, 5.9965e-06, -5.76595683136e-15, -5.80813989528e-15, 0.00726274929338
55.3250345781, 6.055125e-06, -5.65354582551e-15, -5.69539351781e-15, 0.00734763843128
54.7945205479, 6.11375e-06, -5.5444319979e-15, -5.58594998776e-15, 0.0074325745744
54.2740841248, 6.172375e-06, -5.4384834457e-15, -5.47967758241e-15, 0.0075176205333
53.7634408602, 6.231e-06, -5.3355754631e-15, -5.37645136998e-15, 0.00760276696752
53.2623169108, 6.289625e-06, -5.23558962749e-15, -5.27615277474e-15, 0.00768801605718
52.7704485488, 6.34825e-06, -5.13841346925e-15, -5.17866917528e-15, 0.00777336892315
52.2875816993, 6.406875e-06, -5.04394009263e-15, -5.08389353308e-15, 0.00785882713568
51.8134715026, 6.4655e-06, -4.95206787172e-15, -4.99172404874e-15, 0.00794438487401
51.3478818999, 6.524125e-06, -4.86269986847e-15, -4.90206384355e-15, 0.00803008209096
50.8905852417, 6.58275e-06, -4.77574426057e-15, -4.81482066416e-15, 0.00811585857846
50.4413619168, 6.641375e-06, -4.69111328994e-15, -4.72990660855e-15, 0.00820170921267
50, 6.7e-06, -4.60872282876e-15, -4.64723787141e-15, 0.00828772783083
49.5662949195, 6.758625e-06, -4.52849334989e-15, -4.56673450743e-15, 0.00837385170569
49.14004914, 6.81725e-06, -4.45034888299e-15, -4.488320211e-15, 0.00846003097494
48.7210718636, 6.875875e-06, -4.37421628582e-15, -4.41192211097e-15, 0.00854634877875
48.309178744, 6.9345e-06, -4.30002607109e-15, -4.33747057939e-15, 0.00863279822114
47.9041916168, 6.993125e-06, -4.2277119803e-15, -4.26489905297e-15, 0.00871933244295
47.5059382423, 7.05175e-06, -4.15721040791e-15, -4.19414386644e-15, 0.00880595890684
47.1142520612, 7.110375e-06, -4.0884603681e-15, -4.12514409671e-15, 0.00889271447188
46.7289719626, 7.169e-06, -4.02140362687e-15, -4.05784141717e-15, 0.00897959938646
46.3499420626, 7.227625e-06, -3.95598458525e-15, -3.99217996131e-15, 0.00906656924558
45.9770114943, 7.28625e-06, -3.89214967173e-15, -3.92810619488e-15, 0.00915365353321
45.6100342075, 7.344875e-06, -3.82984768035e-15, -3.86556879612e-15, 0.00924084336735
45.2488687783, 7.4035e-06, -3.76902938538e-15, -3.80451854331e-15, 0.00932816006134
44.8933782267, 7.462125e-06, -3.70964776313e-15, -3.74490820923e-15, 0.0094155701893
44.5434298441, 7.52075e-06, -3.65165755124e-15, -3.68669246198e-15, 0.00950307385404
44.1988950276, 7.579375e-06, -3.59501517537e-15, -3.62982777173e-15, 0.00959070196939
43.8596491228, 7.638e-06, -3.53967890987e-15, -3.57427232294e-15, 0.00967844919224
43.5255712731, 7.696625e-06, -3.48560872233e-15, -3.51998593174e-15, 0.00976629170625
43.1965442765, 7.75525e-06, -3.4327660559e-15, -3.46692996809e-15, 0.00985422622103
42.872454448, 7.813875e-06, -3.3811136714e-15, -3.41506728236e-15, 0.00994229634692
42.5531914894, 7.8725e-06, -3.33061604826e-15, -3.36436213608e-15, 0.0100304564284
42.2386483633, 7.931125e-06, -3.28123879302e-15, -3.31478013656e-15, 0.0101187234635
41.928721174, 7.98975e-06, -3.2329488528e-15, -3.26628817516e-15, 0.0102070976487
41.6233090531, 8.048375e-06, -3.18571441917e-15, -3.21885436888e-15, 0.0102955728683
41.3223140496, 8.107e-06, -3.13950477785e-15, -3.1724480052e-15, 0.0103841662002
