# LbyR, T [K], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA, E/E_PFA-1-theta1*L/R
0.005, 0, 2000, -1717.9654839, -1731.18378132, 0.992364590313, 0.000830042010359
0.00459390605191, 0, 2177, -2035.51158317, -2049.95082082, 0.992956300462, 0.000734198419466
0.00422079456275, 0, 2370, -2411.72146684, -2427.49253462, 0.993503144682, 0.000649331181457
0.00387798673713, 0, 2579, -2857.42917364, -2874.65290331, 0.994008414147, 0.000574196028341
0.00356302134818, 0, 2807, -3385.46920449, -3404.27725402, 0.994475171049, 0.000507688073095
0.0032736370669, 0, 3055, -4011.0458636, -4031.58168056, 0.994906262954, 0.000448826246563
0.00300775622667, 0, 3325, -4752.17078799, -4774.59065818, 0.995304336686, 0.000396739697427
0.00276346990647, 0, 3619, -5630.18125276, -5654.65544184, 0.995671851392, 0.000350655593822
0.00253902422552, 0, 3939, -6670.35416513, -6697.06816149, 0.996011090866, 0.000309888254485
0.00233280775111, 0, 4287, -7902.63341239, -7931.78928019, 0.996324175193, 0.000273829460373
0.00214333992915, 0, 4666, -9362.49149089, -9394.30934282, 0.996613071727, 0.000241939854921
0.00196926045437, 0, 5079, -11091.9502056, -11126.6698062, 0.996879605373, 0.000213741224297
0.00180931950382, 0, 5527, -13140.7898056, -13178.6723191, 0.997125468137, 0.000188809509697
0.00166236876368, 0, 6016, -15567.9813546, -15609.311239, 0.997352228823, 0.000166769317748
0.0015273531848, 0, 6548, -18443.3834834, -18488.4705999, 0.997561338766, 0.000147285687809
0.00140330340781, 0, 7127, -21849.752613, -21898.93435, 0.9977541493, 0.000130068743426
0.00128932880356, 0, 7756, -25885.1234686, -25938.7676891, 0.99793189017, 0.000114840311976
0.00118461107871, 0, 8442, -30665.6316886, -30724.1380178, 0.998095753599, 0.000101407172261
0.00108839840073, 0, 9188, -36328.8520164, -36392.6566515, 0.998246771714, 8.95285313552e-05
0.001, 0, 10000, -43037.7597919, -43107.3374403, 0.998385944193, 7.90345327843e-05
0.0009, 0, 11112, -53136.1337883, -53213.6185345, 0.998543892554, 6.76738591193e-05
0.0008, 0, 12500, -67254.3755179, -67341.757165, 0.998702415101, 5.68873727845e-05
0.0007, 0, 14286, -87847.6680956, -87947.7921598, 0.998861551135, 4.67143723848e-05
0.0006, 0, 16667, -119577.615345, -119694.754808, 0.999021348403, 3.72026071092e-05
0.0006, 0, 16667, -119577.615345, -119694.754808, 0.999021348403, 3.72026069447e-05
0.0005, 0, 20000, -172202.221394, -172343.221215, 0.999181866164, 2.84113335432e-05
0.0004, 0, 25000, -269082.51339, -269259.367977, 0.999343181305, 2.0417440434e-05
0.00035, 0, 28572, -351465.626569, -351668.127859, 0.999424169343, 1.67509615285e-05
0.0003, 0, 33334, -478398.74288, -478635.471656, 0.999505409044, 1.33361456873e-05
0.00025, 0, 40000, -688915.920487, -689200.627766, 0.999586902177, 1.01747623513e-05
