# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
5.95e-07, 0.0001513, 295, -7.8447531264, -8.58280963809, -7.8560894175, -8.60334311096
6e-07, 0.0001513, 295, -7.59082980955, -8.3117556807, -7.60185891135, -8.33183551031
6.05e-07, 0.0001513, 295, -7.34707269068, -8.05139549127, -7.35774399447, -8.07097207661
6.1e-07, 0.0001513, 295, -7.11281731774, -7.80105692272, -7.12326722758, -7.82025530808
6.15e-07, 0.0001513, 295, -6.8878107683, -7.56043600116, -6.89797721594, -7.5792146547
6.2e-07, 0.0001513, 295, -6.67153570872, -7.32901465389, -6.68144699904, -7.34740485978
6.25e-07, 0.0001513, 295, -6.46368958606, -7.10649229757, -6.47327255142, -7.12440441675
6.3e-07, 0.0001513, 295, -6.26367170085, -6.89221004128, -6.27307138647, -6.90981413041
6.35e-07, 0.0001513, 295, -6.07132981269, -6.6860242732, -6.08048125455, -6.70325577629
6.4e-07, 0.0001513, 295, -5.88623434431, -6.48750497443, -5.8951589296, -6.50437084903
6.45e-07, 0.0001513, 295, -5.70814788282, -6.29635975662, -5.71677907651, -6.31281939525
6.5e-07, 0.0001513, 295, -5.53648995148, -6.1120371715, -5.54503319425, -6.1282789232
6.55e-07, 0.0001513, 295, -5.37142811456, -5.93465949965, -5.37962862803, -5.950443384
6.6e-07, 0.0001513, 295, -5.21228496723, -5.76355321857, -5.22028764685, -5.77902221978
6.65e-07, 0.0001513, 295, -5.05882707192, -5.59845696396, -5.06674658068, -5.61373947259
6.7e-07, 0.0001513, 295, -4.91115108979, -5.43949178259, -4.91875501338, -5.45433295144
6.75e-07, 0.0001513, 295, -4.76859357983, -5.28593516704, -4.77607502736, -5.30055345206
6.8e-07, 0.0001513, 295, -4.63118713756, -5.13783474529, -4.63848049649, -5.15216402623
6.85e-07, 0.0001513, 295, -4.49863980542, -4.99490118182, -4.50575642327, -5.00893929696
6.9e-07, 0.0001513, 295, -4.37074145831, -4.85688204869, -4.37769831803, -4.8706648168
6.95e-07, 0.0001513, 295, -4.24739223275, -4.72368752616, -4.25411161659, -4.73713646528
7e-07, 0.0001513, 295, -4.12812913423, -4.59485192163, -4.134811134, -4.60815988423
7.05e-07, 0.0001513, 295, -4.0132131664, -4.47061049729, -4.01962055201, -4.48354994718
7.1e-07, 0.0001513, 295, -3.90204792816, -4.35035969122, -3.90837193744, -4.36313026118
7.15e-07, 0.0001513, 295, -3.79479534347, -4.23428065423, -3.80090529018, -4.2467326986
7.2e-07, 0.0001513, 295, -3.69098518695, -4.1218507394, -3.69706811823, -4.13419695726
7.25e-07, 0.0001513, 295, -3.59089126409, -4.01337639135, -3.59671503814, -4.02537014622
7.3e-07, 0.0001513, 295, -3.49389927433, -3.90820392122, -3.49970739921, -3.92010639664
7.35e-07, 0.0001513, 295, -3.40034537623, -3.80670312982, -3.40591293007, -3.8182664952
