# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma
5.25e-07, 2e-05, 295, -2.80695890239e-13, -3.14922256241e-13, -2.84400608586e-13, -3.22228897768e-13, 0.986973592054, 0.97732468572
5.3e-07, 2e-05, 295, -2.72865209862e-13, -3.06474785971e-13, -2.76490172259e-13, -3.1366203761e-13, 0.986889362587, 0.977086000925
5.35e-07, 2e-05, 295, -2.65318139995e-13, -2.98327107238e-13, -2.6886571899e-13, -3.05398101114e-13, 0.98680538743, 0.976846634443
5.4e-07, 2e-05, 295, -2.5804207709e-13, -2.90466059751e-13, -2.61514530336e-13, -2.9742379182e-13, 0.986721757904, 0.976606672834
5.45e-07, 2e-05, 295, -2.51025047858e-13, -2.82879136574e-13, -2.54424558769e-13, -2.89726508637e-13, 0.986638432519, 0.976366083672
5.5e-07, 2e-05, 295, -2.44255709637e-13, -2.75554483991e-13, -2.47584386766e-13, -2.82294303689e-13, 0.986555383508, 0.976124846978
5.55e-07, 2e-05, 295, -2.37723320796e-13, -2.68480870852e-13, -2.40983188758e-13, -2.75115843113e-13, 0.9864726333, 0.975882987377
5.6e-07, 2e-05, 295, -2.31417677647e-13, -2.61647624097e-13, -2.3461069566e-13, -2.68180370497e-13, 0.986390143024, 0.975640475148
5.65e-07, 2e-05, 295, -2.2532909669e-13, -2.5504461008e-13, -2.2845716183e-13, -2.61477672809e-13, 0.986307870088, 0.9753972771
5.7e-07, 2e-05, 295, -2.19448415636e-13, -2.48662235401e-13, -2.22513334221e-13, -2.54998048575e-13, 0.986225910476, 0.975153483686
5.75e-07, 2e-05, 295, -2.1376689332e-13, -2.42491344471e-13, -2.16770423625e-13, -2.48732278209e-13, 0.986144187683, 0.974909031579
5.8e-07, 2e-05, 295, -2.08276234552e-13, -2.36523244462e-13, -2.11220077795e-13, -2.42671596271e-13, 0.986062673234, 0.974663900085
5.85e-07, 2e-05, 295, -2.02968586018e-13, -2.30749701035e-13, -2.05854356343e-13, -2.3680766555e-13, 0.985981494992, 0.9744182077
5.9e-07, 2e-05, 295, -1.97836409953e-13, -2.25162809036e-13, -2.00665707279e-13, -2.31132552823e-13, 0.985900444251, 0.974171774101
5.95e-07, 2e-05, 295, -1.92872602185e-13, -2.19755112698e-13, -1.9564694504e-13, -2.25638706164e-13, 0.985819646432, 0.973924715464
