# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
4.55e-07, 7.5e-05, 295, 1.0510619476e-05, 1.12368991773e-05, 1.05359997421e-05, 1.12757381543e-05, 0.997591090851, 0.996555526874, 7.26279701324e-07, 0.98180612139
4.6e-07, 7.5e-05, 295, 1.00752578358e-05, 1.07800132501e-05, 1.00997854751e-05, 1.08177114946e-05, 0.997571469276, 0.996515136818, 7.0475541434e-07, 0.98165464852
4.65e-07, 7.5e-05, 295, 9.66207555907e-06, 1.03461469646e-05, 9.68579542907e-06, 1.03827584024e-05, 0.997551066386, 0.996473823582, 6.84071405499e-07, 0.981503224245
4.7e-07, 7.5e-05, 295, 9.26975817683e-06, 9.93394574304e-06, 9.2926869362e-06, 9.96949526055e-06, 0.997532601763, 0.99643417078, 6.64187566204e-07, 0.981352537062
4.75e-07, 7.5e-05, 295, 8.89702437855e-06, 9.54208937599e-06, 8.91921099663e-06, 9.57663446688e-06, 0.997512490949, 0.996392773368, 6.45064997435e-07, 0.981201655604
4.8e-07, 7.5e-05, 295, 8.54275303116e-06, 9.16942140394e-06, 8.56420488121e-06, 9.20297688139e-06, 0.997495173184, 0.996353845296, 6.26668372784e-07, 0.981051725199
4.85e-07, 7.5e-05, 295, 8.20579926972e-06, 8.81476175403e-06, 8.22658538548e-06, 8.84740493648e-06, 0.9974732997, 0.996310422922, 6.08962484311e-07, 0.98090094509
4.9e-07, 7.5e-05, 295, 7.88523470952e-06, 8.47715133426e-06, 7.90534267125e-06, 8.50887634536e-06, 0.997456408588, 0.996271539295, 5.91916624747e-07, 0.980751613594
4.95e-07, 7.5e-05, 295, 7.58004671016e-06, 8.15554579318e-06, 7.59953464049e-06, 8.18641835262e-06, 0.997435641621, 0.996228807507, 5.75499083023e-07, 0.980601558931
5e-07, 7.5e-05, 295, 7.28942693581e-06, 7.84910940437e-06, 7.30828179033e-06, 7.87912247487e-06, 0.997420070125, 0.996190810512, 5.59682468559e-07, 0.980453012051
5.05e-07, 7.5e-05, 295, 7.01247832437e-06, 7.55691649559e-06, 7.03076250318e-06, 7.58613968487e-06, 0.997399403151, 0.996147818194, 5.44438171221e-07, 0.980303457135
5.1e-07, 7.5e-05, 295, 6.7484920375e-06, 7.27823364975e-06, 6.7662087327e-06, 7.30667599896e-06, 0.997381591982, 0.99610734769, 5.2974161225e-07, 0.980154849927
5.15e-07, 7.5e-05, 295, 6.49672232738e-06, 7.01229021649e-06, 6.51390204825e-06, 7.03998843008e-06, 0.997362606816, 0.996065588194, 5.15567889109e-07, 0.980006149007
5.2e-07, 7.5e-05, 295, 6.25651493659e-06, 6.75840928186e-06, 6.27317000462e-06, 6.78538127249e-06, 0.997345031616, 0.996024985252, 5.01894345272e-07, 0.979858071769
5.25e-07, 7.5e-05, 295, 6.02722864445e-06, 6.5159274949e-06, 6.04338280853e-06, 6.54220268908e-06, 0.997326966603, 0.995983738898, 4.88698850451e-07, 0.979710050663
5.3e-07, 7.5e-05, 295, 5.8082697588e-06, 6.28423040288e-06, 5.82395025461e-06, 6.30984157384e-06, 0.997307584178, 0.995941075435, 4.75960644081e-07, 0.979561941613
5.35e-07, 7.5e-05, 295, 5.59911041851e-06, 6.06277102904e-06, 5.61431890649e-06, 6.08772466428e-06, 0.997291125026, 0.995900991483, 4.63660610528e-07, 0.979414810437
5.4e-07, 7.5e-05, 295, 5.39920002514e-06, 5.85097943258e-06, 5.41396950226e-06, 5.87531388302e-06, 0.997271968912, 0.995858187167, 4.51779407436e-07, 0.979267172805
5.45e-07, 7.5e-05, 295, 5.20807865254e-06, 5.64837860662e-06, 5.22241456413e-06, 5.67210388782e-06, 0.997254926545, 0.995817199107, 4.40299954075e-07, 0.979120319019
5.5e-07, 7.5e-05, 295, 5.02527957713e-06, 5.45448480437e-06, 5.03919619424e-06, 5.4776198118e-06, 0.997238326, 0.995776448855, 4.29205227245e-07, 0.978973782547
5.55e-07, 7.5e-05, 295, 4.85035862532e-06, 5.26883756488e-06, 4.86388404143e-06, 5.29141517825e-06, 0.997219214933, 0.99573316162, 4.18478939556e-07, 0.978826811718
5.6e-07, 7.5e-05, 295, 4.68293763047e-06, 5.09104413371e-06, 4.69607342375e-06, 5.11306997459e-06, 0.997202813479, 0.995692247321, 4.08106503239e-07, 0.978680764671
5.65e-07, 7.5e-05, 295, 4.52261913463e-06, 4.92069221125e-06, 4.53538359388e-06, 4.94218887252e-06, 0.997185583318, 0.995650376418, 3.98073076618e-07, 0.978534688512
5.7e-07, 7.5e-05, 295, 4.36904565474e-06, 4.75741059646e-06, 4.38145613506e-06, 4.77839958146e-06, 0.997167498672, 0.995607528286, 3.88364941717e-07, 0.978388597276
5.75e-07, 7.5e-05, 295, 4.22189309055e-06, 4.60086243345e-06, 4.23395347732e-06, 4.62135132508e-06, 0.997151507017, 0.995566471754, 3.789693429e-07, 0.978243284231
5.8e-07, 7.5e-05, 295, 4.08082661522e-06, 4.45070001579e-06, 4.09255752348e-06, 4.47071343019e-06, 0.997133599663, 0.995523440563, 3.69873400575e-07, 0.978097641771
