# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
3.65e-07, 7.5e-05, 295, -3.09081307118e-12, -3.35834008166e-12, -3.09909237442e-12, -3.37374713361e-12, 0.997328474843, 0.995433252304, -2.67527010481e-13, 0.974048333526
3.7e-07, 7.5e-05, 295, -2.9713379019e-12, -3.23236814643e-12, -2.97937268549e-12, -3.24742844357e-12, 0.997303196199, 0.995362392921, -2.61030244529e-13, 0.973790850065
3.75e-07, 7.5e-05, 295, -2.85787676054e-12, -3.1126426539e-12, -2.86567685013e-12, -3.12736866455e-12, 0.997278098686, 0.995291245699, -2.54765893354e-13, 0.97353405539
3.8e-07, 7.5e-05, 295, -2.75005729181e-12, -2.99878031314e-12, -2.75763185738e-12, -3.01318374978e-12, 0.997253235399, 0.995219861172, -2.48723021337e-13, 0.973277947567
3.85e-07, 7.5e-05, 295, -2.64753419745e-12, -2.89042552292e-12, -2.65489206694e-12, -2.90451766354e-12, 0.997228561726, 0.995148199374, -2.42891325469e-13, 0.973022513625
3.9e-07, 7.5e-05, 295, -2.54998727356e-12, -2.78724836891e-12, -2.55713689245e-12, -2.80104002026e-12, 0.997204053132, 0.995076239093, -2.37261095355e-13, 0.972767743801
3.95e-07, 7.5e-05, 295, -2.45711936357e-12, -2.6889425363e-12, -2.4640687063e-12, -2.70244394884e-12, 0.997179728508, 0.995003999046, -2.31823172725e-13, 0.972513631246
4e-07, 7.5e-05, 295, -2.36865427731e-12, -2.59522319077e-12, -2.37541094292e-12, -2.60844415845e-12, 0.997155580327, 0.994931473754, -2.26568913461e-13, 0.97226016881
4.05e-07, 7.5e-05, 295, -2.28433578275e-12, -2.50582594694e-12, -2.2909063791e-12, -2.51877518437e-12, 0.997131879151, 0.994858914955, -2.2149016419e-13, 0.972007396643
4.1e-07, 7.5e-05, 295, -2.20392343285e-12, -2.42050261905e-12, -2.21031557293e-12, -2.43318979518e-12, 0.997108041875, 0.994785784425, -2.165791862e-13, 0.97175520801
4.15e-07, 7.5e-05, 295, -2.12719519961e-12, -2.33902389442e-12, -2.13341544561e-12, -2.351457545e-12, 0.997084371913, 0.99471236442, -2.11828694811e-13, 0.971503647216
4.2e-07, 7.5e-05, 295, -2.05394345268e-12, -2.26117523911e-12, -2.0599979908e-12, -2.27336345577e-12, 0.99706090096, 0.994638685413, -2.07231786423e-13, 0.971252711668
4.25e-07, 7.5e-05, 295, -1.98397429594e-12, -2.18675621872e-12, -1.98986909953e-12, -2.19870681682e-12, 0.997037592274, 0.994564715036, -2.02781922783e-13, 0.971002390816
4.3e-07, 7.5e-05, 295, -1.91710664663e-12, -2.11557955606e-12, -1.92284748833e-12, -2.12730008982e-12, 0.997014406118, 0.994490418243, -1.98472909424e-13, 0.970752673116
4.35e-07, 7.5e-05, 295, -1.85317145515e-12, -2.04747033221e-12, -1.85876372131e-12, -2.05896790912e-12, 0.996991405575, 0.994415854244, -1.94298877063e-13, 0.97050356036
4.4e-07, 7.5e-05, 295, -1.79201042015e-12, -1.98226467655e-12, -1.79745931626e-12, -1.99354616778e-12, 0.996968556639, 0.994340993245, -1.90254256402e-13, 0.970255042226
4.45e-07, 7.5e-05, 295, -1.73347544577e-12, -1.91980920898e-12, -1.73878592725e-12, -1.93088118159e-12, 0.99694586815, 0.994265844672, -1.86333763207e-13, 0.970007113632
4.5e-07, 7.5e-05, 295, -1.6774277466e-12, -1.85996012585e-12, -1.6826045963e-12, -1.87082892335e-12, 0.996923311803, 0.994190384075, -1.82532379247e-13, 0.969759765418
4.55e-07, 7.5e-05, 295, -1.62373732269e-12, -1.80258266125e-12, -1.62878506736e-12, -1.81325432075e-12, 0.996900914197, 0.994114637213, -1.78845338565e-13, 0.969512996232
