# high-temperature limit
# R: 7.5e-05 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
112.27545, -16.40791539878, -31.470816277938, -30.468122915517, 0.93170827988647
112.61261, -16.458415741458, -31.570042717726, -30.561423284692, 0.93184668376972
112.95181, -16.509220878115, -31.669872171298, -30.655274388215, 0.93198523951271
113.29305, -16.56033357265, -31.770310123516, -30.749681095351, 0.93212394766259
113.63636, -16.611756622469, -31.871362125864, -30.844648332898, 0.93226280877006
113.98176, -16.663492859, -31.973033796197, -30.940181085708, 0.93240182337931
114.32927, -16.715545148206, -32.075330822671, -31.036284398324, 0.93254099205149
114.6789, -16.767916391116, -32.178258961506, -31.132963374991, 0.93268031533827
115.03067, -16.820609524363, -32.281824041317, -31.23022318142, 0.93281979380801
115.38462, -16.87362752073, -32.386031960953, -31.328069044845, 0.9329594280199
115.74074, -16.926973389713, -32.49088869387, -31.426506255811, 0.93309921854981
116.09907, -16.980650178082, -32.596400285973, -31.525540168262, 0.93323916596447
116.45963, -17.034660970464, -32.702572860085, -31.625176201373, 0.93337927084737
116.82243, -17.089008889934, -32.809412614199, -31.725419839773, 0.93351953377619
117.1875, -17.143697098614, -32.916925823952, -31.826276634879, 0.93365995533271
117.55486, -17.198728798284, -33.025118845051, -31.927752206227, 0.93380053611198
117.92453, -17.254107231007, -33.133998112035, -32.029852241874, 0.93394127670367
118.29653, -17.309835679764, -33.2435701408, -32.132582499778, 0.93408217770161
118.67089, -17.365917469105, -33.353841531118, -32.235948809192, 0.93422323971287
119.04762, -17.422355965801, -33.464818965469, -32.339957071123, 0.93436446333946
119.42675, -17.479154579525, -33.576509212022, -32.444613259873, 0.93450584919052
119.80831, -17.536316763531, -33.688919125616, -32.549923424076, 0.93464739787942
120.19231, -17.593846015356, -33.802055648694, -32.655893687766, 0.9347891100212
120.57878, -17.651745877532, -33.915925814415, -32.762530251936, 0.93493098624343
120.96774, -17.71001993831, -34.030536745594, -32.869839395156, 0.93507302716938
121.35922, -17.768671832401, -34.145895657826, -32.977827475224, 0.93521523343027
121.75325, -17.827705241729, -34.262009860596, -33.086500930252, 0.93535760566063
122.14984, -17.887123896203, -34.378886758787, -33.195866280008, 0.93550014450024
122.54902, -17.946931574498, -34.496533854251, -33.30593012718, 0.93564285059322
122.95082, -18.007132104857, -34.614958747396, -33.416699158705, 0.93578572458818
123.35526, -18.067729365904, -34.734169138822, -33.528180147118, 0.93592876713841
123.76238, -18.128727287476, -34.854172830946, -33.640379951932, 0.93607197890189
124.17219, -18.190129851475, -34.974977729721, -33.753305521028, 0.93621536054119
124.58472, -18.251941092725, -35.096591846359, -33.866963892095, 0.93635891272373
125, -18.314165099862, -35.219023299051, -33.981362194081, 0.93650263612171
125.41806, -18.376806016231, -35.342280315202, -34.096507648778, 0.9366465314149
125.83893, -18.439868040802, -35.466371231604, -34.212407571941, 0.93679059927987
