# high-temperature limit
# R: 0.00015 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
234.375, -34.717314781031, -67.617339577634, -65.403578879114, 0.95934411736921
235.10972, -34.827564777291, -67.835674027105, -65.608354452164, 0.95943360129353
235.84906, -34.938508715965, -68.055388231373, -65.814385382186, 0.95952317614736
236.59306, -35.050153165732, -68.276495272898, -66.021683226677, 0.95961284226571
237.34177, -35.162504778427, -68.499008399903, -66.230259685483, 0.95970259998605
238.09524, -35.275570290359, -68.722941027714, -66.440126602658, 0.95979244964321
238.8535, -35.389356523661, -68.948306744446, -66.651295969463, 0.95988239158065
239.61661, -35.503870387657, -69.175119310749, -66.863779925901, 0.95997242613943
240.38462, -35.619118880259, -69.403392663855, -67.077590763378, 0.96006255366326
241.15756, -35.735109089396, -69.633140921745, -67.292740927356, 0.96015277450249
241.93548, -35.851848194459, -69.864378383436, -67.509243019155, 0.96024308900543
242.71845, -35.969343467788, -70.097119533666, -67.727109798836, 0.96033349752439
243.50649, -36.087602276177, -70.331379045473, -67.946354187585, 0.960424000414
244.29967, -36.206632082412, -70.567171782818, -68.166989270191, 0.96051459803017
245.09804, -36.326440446842, -70.804512805473, -68.389028298034, 0.9606052907355
245.90164, -36.447035028977, -71.043417370014, -68.612484691223, 0.96069607889214
246.71053, -36.56842358912, -71.283900933097, -68.837372041323, 0.96078696286206
247.52475, -36.690613990029, -71.525979156945, -69.063704114599, 0.96087794301407
248.34437, -36.813614198614, -71.769667910977, -69.291494854432, 0.96096901971817
249.16944, -36.937432287667, -72.014983275706, -69.520758384282, 0.96106019334715
250, -37.062076437628, -72.261941546249, -69.751509010583, 0.96115146427613
250.83612, -37.187554938383, -72.510559236373, -69.983761225863, 0.96124283288469
251.67785, -37.313876191103, -72.760853080431, -70.217529711328, 0.96133429955066
252.52525, -37.441048710116, -73.012840040057, -70.452829340709, 0.96142586466044
253.37838, -37.569081124817, -73.266537304614, -70.689675182564, 0.96151752859745
254.23729, -37.697982181622, -73.521962298504, -70.928082504336, 0.96160929175357
255.10204, -37.827760745957, -73.779132682095, -71.168066774913, 0.96170115451936
255.9727, -37.958425804287, -74.038066357092, -71.40964366829, 0.96179311728835
256.84932, -38.089986466191, -74.298781471952, -71.65282906726, 0.9618851804609
257.73196, -38.222451966475, -74.561296423552, -71.89763906632, 0.96197734443636
