# LbyR, T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.00919573134187, 0, 9, 0.035, 1088, -506.745153094, -513.599387537, 0.98665451204
0.00874047266196, 0, 9, 0.035, 1145, -561.007672977, -568.229357329, 0.987290898897
0.00830775275117, 0, 9, 0.035, 1204, -621.076104255, -628.683790844, 0.987899025394
0.00789645576892, 0, 9, 0.035, 1267, -687.571312565, -695.584363496, 0.988480116358
0.00750552111721, 0, 9, 0.035, 1333, -761.180532048, -769.619138281, 0.989035347728
0.00713394070573, 0, 9, 0.035, 1402, -842.664458711, -851.549656469, 0.989565848931
0.00678075635231, 0, 9, 0.035, 1475, -932.865101216, -942.218785656, 0.990072704363
0.00644505731207, 0, 9, 0.035, 1552, -1032.71436179, -1042.55940606, 0.990556850564
0.00612597792896, 0, 9, 0.035, 1633, -1143.24407453, -1153.60402454, 0.991019492141
0.00582269540346, 0, 9, 0.035, 1718, -1265.59618117, -1276.49541553, 0.991461595375
0.00553442767093, 0, 9, 0.035, 1807, -1401.03436806, -1412.49839833, 0.99188386317
0.00526043138484, 0, 9, 0.035, 1901, -1550.95779847, -1563.01287246, 0.992287284252
0.005, 0, 9, 0.035, 2000, -1716.91504088, -1729.58824503, 0.992672704512
0.00459390605191, 0, 9, 0.035, 2177, -2034.21310666, -2047.97999848, 0.993277819204
0.00422079456275, 0, 9, 0.035, 2370, -2410.11641845, -2425.05808429, 0.99383863589
0.00387798673713, 0, 9, 0.035, 2579, -2855.44520325, -2871.64567884, 0.99435846988
0.00356302134818, 0, 9, 0.035, 2807, -3383.01689318, -3400.56240477, 0.994840408882
0.0032736370669, 0, 9, 0.035, 3055, -4008.01469733, -4026.99259676, 0.995287326962
0.00300775622667, 0, 9, 0.035, 3325, -4748.42418248, -4768.92149021, 0.995701898686
0.00276346990647, 0, 9, 0.035, 3619, -5625.55036759, -5647.65185715, 0.996086605526
0.00253902422552, 0, 9, 0.035, 3939, -6664.63040688, -6688.41592432, 0.996443774175
0.00233280775111, 0, 9, 0.035, 4287, -7895.55894539, -7921.10014103, 0.996775549459
0.00214333992915, 0, 9, 0.035, 4666, -9353.74766109, -9381.10360388, 0.997083931278
0.00196926045437, 0, 9, 0.035, 5079, -11081.1432575, -11110.35478, 0.997370784009
0.00180931950382, 0, 9, 0.035, 5527, -13127.4329794, -13158.515712, 0.997637823804
0.00166236876368, 0, 9, 0.035, 6016, -15551.4731393, -15584.4082656, 0.997886661737
0.0015273531848, 0, 9, 0.035, 6548, -18422.9804332, -18457.7033493, 0.998118784584
0.00140330340781, 0, 9, 0.035, 7127, -21824.5359806, -21860.9215797, 0.998335587137
0.00128932880356, 0, 9, 0.035, 7756, -25853.9583376, -25891.8027914, 0.998538361576
0.00118461107871, 0, 9, 0.035, 8442, -30627.1140205, -30666.112371, 0.998728291673
0.00108839840073, 0, 9, 0.035, 9188, -36281.247822, -36320.9649119, 0.998906496841
0.001, 0, 9, 0.035, 10000, -42978.925684, -43018.7605204, 0.999074012454
0.0009, 0, 9, 0.035, 11112, -53059.5671602, -53098.3873036, 0.99926890165
0.0008, 0, 9, 0.035, 12500, -67151.5883257, -67187.1270209, 0.999471049042
