# L = 5.4813049665329e-07 [m]
# T = 0 [K]
# omega_p = 9 [eV]
# omega_p*L/c = 25
# E = E_PFA (1+theta_1*L/R)
# theta1 = -1.7587447923956
#
# L/R, R, ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA, 1-E/E_PFA, E/E_PFA-1-theta1*L/R
0.00676059232381, 8.10772888527e-05, 1332, -848.313814885, -857.347340904, 0.989463399968, 0.0105366000315, 0.0013535565115
0.00617993972891, 8.86951201302e-05, 1457, -1015.50713609, -1025.43295123, 0.990320366508, 0.00967963349156, 0.00118930332398
0.00564915812457, 9.7028704909e-05, 1594, -1215.62803424, -1226.53268411, 0.991109368707, 0.00889063129296, 0.00104479614004
0.0051639641997, 0.000106145293704, 1743, -1455.15832426, -1467.13662395, 0.991835593568, 0.00816440643151, 0.000917688712824
0.0047204425275, 0.00011611845573, 1907, -1741.85542768, -1755.01124516, 0.992503855737, 0.00749614426273, 0.000805909450304
0.00431501396867, 0.000127028672591, 2086, -2085.00337459, -2099.45048722, 0.993118621888, 0.00688137811173, 0.000707630234772
0.00394440678842, 0.000138963987757, 2282, -2495.71318987, -2511.57622286, 0.993684032819, 0.00631596718065, 0.000621237717569
0.00360563025415, 0.00015202071705, 2497, -2987.28238402, -3004.69783649, 0.994203925512, 0.00579607448769, 0.0005453089451
0.0032959505008, 0.000166304225904, 2731, -3575.62517162, -3594.7425422, 0.994681852633, 0.00531814736659, 0.00047858841269
0.00301286846904, 0.000181929779639, 2988, -4279.78734781, -4300.77035823, 0.995121104205, 0.0048788957954, 0.000419970934696
0.0027540997383, 0.000199023473635, 3268, -5122.56243071, -5145.59039303, 0.995524719116, 0.0044752808837, 0.000368477688778
0.00251755609197, 0.000217723250895, 3575, -6131.22915879, -6156.49837476, 0.995895521376, 0.00410447862352, 0.000323260042788
0.00230132866579, 0.000238180015224, 3911, -7338.43378597, -7366.1592773, 0.996236099399, 0.00376390060072, 0.000283549205833
0.00210367254374, 0.000260558848993, 4279, -8783.24644436, -8813.66358895, 0.996548864807, 0.00345113519292, 0.000248687938282
0.00192299267682, 0.000285040345323, 4681, -10512.4248247, -10545.7913861, 0.99683603059, 0.00316396940985, 0.000218083946323
0.00175783101135, 0.00031182206544, 5120, -12581.9269139, -12618.5250951, 0.997099646676, 0.00290035332395, 0.000191222813169
0.0016068547227, 0.00034112013296, 5602, -15058.7211037, -15098.8598697, 0.997341602848, 0.00265839715249, 0.000167650223192
0.00146884545965, 0.000373170977963, 6128, -18022.9525368, -18066.970136, 0.997563642444, 0.00243635755564, 0.000146966747348
0.00134268951254, 0.000408233244943, 6703, -21570.535667, -21618.8023781, 0.997767373499, 0.00223262650063, 0.00012882168735
0.00122736882579, 0.000446589880023, 7333, -25816.2567364, -25869.1780236, 0.997954272566, 0.00204572743385, 0.000112901096851
0.00112195278242, 0.000488550414279, 8022, -30897.487221, -30955.5067853, 0.99812571105, 0.00187428895021, 9.89396631866e-05
0.00102559069412, 0.000534453461596, 8776, -36978.6269569, -37042.2305617, 0.998282943446, 0.00171705655393, 8.66957384823e-05
0.000937504936346, 0.000584669451224, 9600, -44256.4222473, -44326.1416271, 0.99842712726, 0.00157287274046, 7.59591841834e-05
0.00085698467304, 0.000639603617074, 10502, -52966.3298823, -53042.7471202, 0.998559327297, 0.00144067270275, 6.65446281257e-05
0.000783380120308, 0.000699699267882, 11489, -63390.1335857, -63473.8856812, 0.998680526731, 0.00131947326902, 5.82924380394e-05
0.000716097302788, 0.000765441364629, 12569, -75865.0582875, -75956.8425884, 0.998791625642, 0.00120837435847, 5.10580436534e-05
0.0005, 0.00109626099331, 18000, -155635.316004, -155767.617687, 0.999150647065, 0.000849352934555, 3.00194616427e-05
