# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
7.6e-07, 0.0001513, 295, -7.03852305317e-13, -8.43529654391e-13, -7.0531259652e-13, -8.48611800248e-13, 0.997929582982, 0.994011224149, -1.39677349074e-13, 0.974725228338
7.65e-07, 0.0001513, 295, -6.89890822836e-13, -8.27828390569e-13, -6.91327550106e-13, -8.3286049835e-13, 0.997921785021, 0.993958042444, -1.37937567733e-13, 0.974596865566
7.7e-07, 0.0001513, 295, -6.76288826015e-13, -8.12518716057e-13, -6.7770254935e-13, -8.17501698443e-13, 0.99791394715, 0.993904621366, -1.36229890042e-13, 0.974468663976
7.75e-07, 0.0001513, 295, -6.63035065635e-13, -7.97588602883e-13, -6.64426214953e-13, -8.02523230825e-13, 0.997906239569, 0.993851108912, -1.34553537248e-13, 0.974340657533
7.8e-07, 0.0001513, 295, -6.50118488233e-13, -7.83026232843e-13, -6.51487594109e-13, -7.87913376202e-13, 0.997898492791, 0.993797359575, -1.3290774461e-13, 0.974212810591
7.85e-07, 0.0001513, 295, -6.37528601676e-13, -7.68820378314e-13, -6.3887614202e-13, -7.73660846343e-13, 0.997890764335, 0.993743423811, -1.31291776638e-13, 0.974085133004
7.9e-07, 0.0001513, 295, -6.25255232437e-13, -7.54960149566e-13, -6.26581704324e-13, -7.59754765679e-13, 0.997883002524, 0.993689258258, -1.29704917129e-13, 0.973957614316
7.95e-07, 0.0001513, 295, -6.13288671085e-13, -7.41435145969e-13, -6.14594500373e-13, -7.46184653786e-13, 0.997875299427, 0.993634943049, -1.28146474883e-13, 0.973830271941
8e-07, 0.0001513, 295, -6.01619487285e-13, -7.28235263256e-13, -6.0290510736e-13, -7.32940408756e-13, 0.997867624509, 0.993580452867, -1.2661577597e-13, 0.973703099168
8.05e-07, 0.0001513, 295, -5.90238603317e-13, -7.15350770067e-13, -5.91504445136e-13, -7.20012291282e-13, 0.99785996229, 0.993525775502, -1.25112166749e-13, 0.973576092833
8.1e-07, 0.0001513, 295, -5.79137316816e-13, -7.02772331223e-13, -5.80383761831e-13, -7.07390909585e-13, 0.997852377862, 0.993470967326, -1.23635014407e-13, 0.973449263237
8.15e-07, 0.0001513, 295, -5.68307132485e-13, -6.9049083275e-13, -5.6953462013e-13, -6.95067205012e-13, 0.99784475324, 0.993415928375, -1.22183700265e-13, 0.973322586959
8.2e-07, 0.0001513, 295, -5.57739958945e-13, -6.78497586639e-13, -5.58948884192e-13, -6.83032438321e-13, 0.997837145253, 0.993360708177, -1.20757627694e-13, 0.973196073739
8.25e-07, 0.0001513, 295, -5.47427959008e-13, -6.66784174896e-13, -5.48618707203e-13, -6.71278176608e-13, 0.99782955233, 0.993305306402, -1.19356215888e-13, 0.973069722761
8.3e-07, 0.0001513, 295, -5.37363595841e-13, -6.55342497723e-13, -5.38536519498e-13, -6.59796280841e-13, 0.997822016494, 0.993249760194, -1.17978901881e-13, 0.972943543468
8.35e-07, 0.0001513, 295, -5.27539526727e-13, -6.44164661689e-13, -5.28695017249e-13, -6.48578893977e-13, 0.997814447869, 0.993193993315, -1.16625134962e-13, 0.972817514286
8.4e-07, 0.0001513, 295, -5.17948738356e-13, -6.332431221e-13, -5.19087151657e-13, -6.37618429609e-13, 0.997806893702, 0.993138047294, -1.15294383744e-13, 0.972691645083
8.45e-07, 0.0001513, 295, -5.08584427381e-13, -6.22570557493e-13, -5.09706118687e-13, -6.26907561171e-13, 0.997799337177, 0.993081908806, -1.13986130112e-13, 0.972565931747
8.5e-07, 0.0001513, 295, -4.99440041403e-13, -6.1213991255e-13, -5.00545349199e-13, -6.16439211572e-13, 0.997791792897, 0.993025591265, -1.12699871147e-13, 0.972440376384
