# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma
5.2e-07, 0.0001513, 295, -2.20993403478e-12, -2.49570321601e-12, -2.2135981395e-12, -2.50486771661e-12, 0.998344729041, 0.996341323522
5.25e-07, 0.0001513, 295, -2.14790834178e-12, -2.42863566323e-12, -2.15149060395e-12, -2.43766161161e-12, 0.998334985908, 0.996297292316
5.3e-07, 0.0001513, 295, -2.08814527312e-12, -2.36396239471e-12, -2.09164815314e-12, -2.37285331452e-12, 0.998325301502, 0.996253068085
5.35e-07, 0.0001513, 295, -2.03054323842e-12, -2.30157727962e-12, -2.03396916416e-12, -2.31033663492e-12, 0.998315645194, 0.996208623811
5.4e-07, 0.0001513, 295, -1.97500622357e-12, -2.24137996156e-12, -1.97835742199e-12, -2.25001098512e-12, 0.998306070287, 0.996164008258
5.45e-07, 0.0001513, 295, -1.92144307905e-12, -2.18327512814e-12, -1.92472178709e-12, -2.19178103784e-12, 0.998296528852, 0.996119179081
5.5e-07, 0.0001513, 295, -1.86976761153e-12, -2.12717260198e-12, -1.87297588589e-12, -2.13555640741e-12, 0.998287071189, 0.996074182168
5.55e-07, 0.0001513, 295, -1.81989794681e-12, -2.07298668805e-12, -1.82303782296e-12, -2.08125135315e-12, 0.99827766813, 0.996028992322
5.6e-07, 0.0001513, 295, -1.77175641003e-12, -2.02063604695e-12, -1.77482991266e-12, -2.02878450281e-12, 0.998268283282, 0.995983577431
5.65e-07, 0.0001513, 295, -1.72526952696e-12, -1.97004369656e-12, -1.72827842924e-12, -1.9780785948e-12, 0.998259017626, 0.995938028822
5.7e-07, 0.0001513, 295, -1.68036713519e-12, -1.92113609901e-12, -1.68331337339e-12, -1.92906023747e-12, 0.998249738734, 0.995892228606
5.75e-07, 0.0001513, 295, -1.63698304245e-12, -1.87384383384e-12, -1.63986825473e-12, -1.88165968465e-12, 0.998240582883, 0.99584629948
5.8e-07, 0.0001513, 295, -1.59505393551e-12, -1.82810047882e-12, -1.59787988852e-12, -1.83581062579e-12, 0.998231435897, 0.99580014035
5.85e-07, 0.0001513, 295, -1.55451987869e-12, -1.78384311809e-12, -1.55728820574e-12, -1.79144998988e-12, 0.998222341224, 0.995753790594
5.9e-07, 0.0001513, 295, -1.51532383855e-12, -1.74101185513e-12, -1.51803607557e-12, -1.74851776211e-12, 0.99821332506, 0.995707274392
5.95e-07, 0.0001513, 295, -1.47741135279e-12, -1.69954947109e-12, -1.48006913922e-12, -1.70695681213e-12, 0.998204282245, 0.995660498856
6e-07, 0.0001513, 295, -1.44073096818e-12, -1.6594018731e-12, -1.44333565458e-12, -1.66671273351e-12, 0.998195370294, 0.995613604997
6.05e-07, 0.0001513, 295, -1.40523326358e-12, -1.62051709092e-12, -1.40778635056e-12, -1.62773369315e-12, 0.998186452811, 0.995566472412
6.1e-07, 0.0001513, 295, -1.37087150454e-12, -1.58284594659e-12, -1.37337429083e-12, -1.58997029032e-12, 0.998177637146, 0.995519196943
6.15e-07, 0.0001513, 295, -1.33760084534e-12, -1.54634123594e-12, -1.3400547458e-12, -1.55337542422e-12, 0.998168805812, 0.995471675317
6.2e-07, 0.0001513, 295, -1.30537879249e-12, -1.51095820234e-12, -1.30778507281e-12, -1.51790416995e-12, 0.998160033813, 0.995423974881
6.25e-07, 0.0001513, 295, -1.27416472835e-12, -1.47665404698e-12, -1.27652460355e-12, -1.48351366201e-12, 0.998151328068, 0.995376102561
6.3e-07, 0.0001513, 295, -1.24391987517e-12, -1.44338789091e-12, -1.24623453842e-12, -1.45016298479e-12, 0.998142674452, 0.995328046602
6.35e-07, 0.0001513, 295, -1.21460718564e-12, -1.41112066155e-12, -1.21687784729e-12, -1.41781306988e-12, 0.998134026633, 0.995279766794
6.4e-07, 0.0001513, 295, -1.18619141999e-12, -1.37981517187e-12, -1.18841917619e-12, -1.38642659924e-12, 0.99812544577, 0.995231318141
6.45e-07, 0.0001513, 295, -1.15863882626e-12, -1.34943579001e-12, -1.16082475962e-12, -1.35596791438e-12, 0.998116913565, 0.995182685152
6.5e-07, 0.0001513, 295, -1.13191711824e-12, -1.31994841633e-12, -1.13406233808e-12, -1.32640293076e-12, 0.998108375731, 0.995133820743
6.55e-07, 0.0001513, 295, -1.10599560088e-12, -1.29132061227e-12, -1.1081010804e-12, -1.29769905725e-12, 0.998099921065, 0.995084804187
6.6e-07, 0.0001513, 295, -1.08084471721e-12, -1.26352113229e-12, -1.08291151064e-12, -1.26982512026e-12, 0.998091447544, 0.995035546337
6.65e-07, 0.0001513, 295, -1.05643642032e-12, -1.23652030741e-12, -1.05846543924e-12, -1.24275129227e-12, 0.998083056052, 0.994986136892
6.7e-07, 0.0001513, 295, -1.03274367511e-12, -1.21028953085e-12, -1.03473589812e-12, -1.21644902439e-12, 0.998074655566, 0.994936496788
6.75e-07, 0.0001513, 295, -1.00974079615e-12, -1.18480160541e-12, -1.01169707946e-12, -1.19089098282e-12, 0.998066334919, 0.994886704583
6.8e-07, 0.0001513, 295, -9.87403113152e-13, -1.16003039916e-12, -9.89324278066e-13, -1.16605098889e-12, 0.998058103943, 0.994836769759
6.85e-07, 0.0001513, 295, -9.6570684573e-13, -1.13595071468e-12, -9.67593836841e-13, -1.14190396242e-12, 0.998049810737, 0.994786560043
6.9e-07, 0.0001513, 295, -9.44629552427e-13, -1.11253875314e-12, -9.46483095408e-13, -1.11842586829e-12, 0.998041652312, 0.994736249117
6.95e-07, 0.0001513, 295, -9.24149378488e-13, -1.08977133576e-12, -9.25970341599e-13, -1.09559366593e-12, 0.998033454172, 0.99468568471
7e-07, 0.0001513, 295, -9.04245624718e-13, -1.0676264927e-12, -9.06034765516e-13, -1.07338526157e-12, 0.998025306681, 0.99463494695
7.05e-07, 0.0001513, 295, -8.848982788e-13, -1.04608297715e-12, -8.86656416232e-13, -1.05177946313e-12, 0.998017115311, 0.994583953974
