# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
2.05e-07, 0.0001513, 295, 0.000431226114838, 0.00044321111494, 0.000431490133048, 0.000443541640595, 0.999388124571, 0.999254803553, 1.19850001025e-05, 0.994481400417
2.1e-07, 0.0001513, 295, 0.00039454751298, 0.000405835246595, 0.000394794565851, 0.000406146022464, 0.999374224235, 0.999234817401, 1.1287733615e-05, 0.994386359416
2.15e-07, 0.0001513, 295, 0.00036169947835, 0.000372343027598, 0.000361930944924, 0.000372635600291, 0.999360467577, 0.999214855767, 1.06435492482e-05, 0.994291631426
2.2e-07, 0.0001513, 295, 0.000332209855902, 0.000342257341041, 0.000332426982988, 0.000342533111891, 0.999346842773, 0.999194907467, 1.00474851392e-05, 0.994197207961
2.25e-07, 0.0001513, 295, 0.000305673290824, 0.000315168417279, 0.000305877209465, 0.000315428660056, 0.999333331693, 0.999174955196, 9.49512645465e-06, 0.994103080435
2.3e-07, 0.0001513, 295, 0.000281740601236, 0.000290723137439, 0.000281932340883, 0.000290969013624, 0.999319909003, 0.999154974677, 8.9825362031e-06, 0.994009239965
2.35e-07, 0.0001513, 295, 0.000260110038989, 0.000268616234914, 0.00026029052296, 0.000268848790105, 0.999306605679, 0.999134996328, 8.50619592512e-06, 0.99391568184
2.4e-07, 0.0001513, 295, 0.000240520022465, 0.00024858297705, 0.000240690084174, 0.00024880315808, 0.999293441148, 0.999115039248, 8.06295458503e-06, 0.99382240065
2.45e-07, 0.0001513, 295, 0.000222743107292, 0.00023039309179, 0.000222903515525, 0.000230601772813, 0.999280369209, 0.999095058892, 7.64998449717e-06, 0.993729387201
2.5e-07, 0.0001513, 295, 0.000206580999335, 0.000213845742617, 0.000206732449565, 0.0002140437171, 0.999267409492, 0.999075074542, 7.26474328214e-06, 0.993636636535
2.55e-07, 0.0001513, 295, 0.000191860323151, 0.000198765263918, 0.000192003457191, 0.000198953264924, 0.999254523628, 0.999055049405, 6.90494076769e-06, 0.993544142935
2.6e-07, 0.0001513, 295, 0.000178429088609, 0.000184997598851, 0.000178564516457, 0.000185176321464, 0.999241574691, 0.999034851696, 6.5685102424e-06, 0.993451899437
2.65e-07, 0.0001513, 295, 0.000166153840811, 0.000172407424251, 0.000166282035761, 0.000172577421164, 0.99922905112, 0.999014952757, 6.2535834398e-06, 0.993359903958
2.7e-07, 0.0001513, 295, 0.00015491691162, 0.000160875380215, 0.000155038336099, 0.000161037188053, 0.999216809971, 0.998995214457, 5.95846859426e-06, 0.993268152021
