# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
2.2e-07, 1e-05, 295, -346.261970641, -356.279387979, -349.685377129, -360.316179307
2.25e-07, 1e-05, 295, -318.542306557, -328.001423757, -321.757236388, -331.804563386
2.3e-07, 1e-05, 295, -293.546629879, -302.487953707, -296.569237733, -306.075061494
2.35e-07, 1e-05, 295, -270.95880225, -279.419237637, -273.80385571, -282.806436808
2.4e-07, 1e-05, 295, -250.50507867, -258.518306563, -253.185833771, -261.72010882
2.45e-07, 1e-05, 295, -231.947165836, -239.543974747, -234.475851477, -242.573774148
2.5e-07, 1e-05, 295, -215.07778539, -222.286365035, -217.465242867, -225.156084692
2.55e-07, 1e-05, 295, -199.715071639, -206.561270541, -201.971575034, -209.282191386
2.6e-07, 1e-05, 295, -185.700385305, -192.207941433, -187.834933609, -194.789999365
2.65e-07, 1e-05, 295, -172.893678821, -179.084421796, -174.914791399, -181.537010203
2.7e-07, 1e-05, 295, -161.17202986, -167.066062712, -163.08735994, -169.397650363
2.75e-07, 1e-05, 295, -150.426763186, -156.042623323, -152.243342386, -158.26100388
2.8e-07, 1e-05, 295, -140.561603868, -145.91640668, -142.28602109, -148.028882206
2.85e-07, 1e-05, 295, -131.491529792, -136.601098279, -133.12962528, -138.614176276
2.9e-07, 1e-05, 295, -123.140558561, -128.019537523, -124.697933835, -129.939445531
2.95e-07, 1e-05, 295, -115.441414574, -120.103375186, -116.923076054, -121.935706543
3e-07, 1e-05, 295, -108.33377151, -112.791303389, -109.744499657, -114.541390267
3.05e-07, 1e-05, 295, -101.764076843, -106.028873057, -103.108080418, -107.701442159
3.1e-07, 1e-05, 295, -95.6839598121, -99.7668910389, -96.9653521456, -101.366543676
3.15e-07, 1e-05, 295, -90.0503811036, -93.9615649902, -91.2728391249, -95.4924372143
3.2e-07, 1e-05, 295, -84.8244951147, -88.5733574447, -85.9914760849, -90.0393393583
3.25e-07, 1e-05, 295, -79.9714220744, -83.5667529728, -81.0861030865, -84.971429786
3.3e-07, 1e-05, 295, -75.4595828646, -78.9095868459, -76.5250247107, -80.2564051051
3.35e-07, 1e-05, 295, -71.2607586787, -74.5731020562, -72.2796245567, -75.865088558
3.4e-07, 1e-05, 295, -67.3490409895, -70.5308918893, -68.3240274383, -71.7710879228
3.45e-07, 1e-05, 295, -63.7013958844, -66.7594644473, -64.6348027861, -67.9504950553
3.5e-07, 1e-05, 295, -60.2965449457, -63.2371161194, -61.1907037408, -64.381621509
3.55e-07, 1e-05, 295, -57.1154592721, -59.9444260268, -57.9724372218, -61.0447654804
3.6e-07, 1e-05, 295, -54.1406876213, -56.8635792219, -54.9624609247, -57.9220059851
3.65e-07, 1e-05, 295, -51.3564352877, -53.9784442271, -52.1448037839, -54.9970207732
3.7e-07, 1e-05, 295, -48.7481332491, -51.2741386764, -49.5049069257, -52.254924982
3.75e-07, 1e-05, 295, -46.3028007521, -48.7373925429, -47.0294825321, -49.6821279141
3.8e-07, 1e-05, 295, -44.0081767901, -46.3556735655, -44.7063884033, -47.2662057089
3.85e-07, 1e-05, 295, -41.8534555615, -44.1179261426, -42.5245163023, -44.9957879743
3.9e-07, 1e-05, 295, -39.8283759175, -42.0136541158, -40.4736924075, -42.8604566789
3.95e-07, 1e-05, 295, -37.9237491908, -40.0334512929, -38.5445884406, -40.8506558643
4e-07, 1e-05, 295, -36.1312507597, -38.1687909203, -36.7286422006, -38.9576108857
4.05e-07, 1e-05, 295, -34.4427036914, -36.4113036531, -35.0179864183, -37.1732560914
4.1e-07, 1e-05, 295, -32.8512849841, -34.753991715, -33.4053849635, -35.4901699543
4.15e-07, 1e-05, 295, -31.3502606957, -33.1899545086, -31.8841755794, -33.9015168263
4.2e-07, 1e-05, 295, -29.9335536925, -31.7129599677, -30.4482183986, -32.4009945554
4.25e-07, 1e-05, 295, -28.595555492, -30.3172544654, -29.0918496093, -30.9827873313
4.3e-07, 1e-05, 295, -27.3310877531, -28.9975236778, -27.8098396941, -29.6415231707
4.35e-07, 1e-05, 295, -26.1353561475, -27.7488457871, -26.5973557552, -28.372235553
4.4e-07, 1e-05, 295, -25.0039421074, -26.5666826116, -25.4499274764, -27.1703287468
4.45e-07, 1e-05, 295, -23.9327385343, -25.446814762, -24.3634163439, -26.0315464488
4.5e-07, 1e-05, 295, -22.9179537836, -24.3853451006, -23.3339877749, -24.9519433788
4.55e-07, 1e-05, 295, -21.9560642708, -23.3786508766, -22.3580858584, -23.9278595233
4.6e-07, 1e-05, 295, -21.0438063623, -22.4233751828, -21.4324104338, -22.955896764
4.65e-07, 1e-05, 295, -20.1781405901, -21.5163907558, -20.5538962709, -22.0328976356
4.7e-07, 1e-05, 295, -19.3562495207, -20.6547974855, -19.71969414, -21.155926011
4.75e-07, 1e-05, 295, -18.5755122271, -19.8358965359, -18.9271535812, -20.3222495143
4.8e-07, 1e-05, 295, -17.8334818754, -19.0571676157, -18.1738072066, -19.5293234911
4.85e-07, 1e-05, 295, -17.127886711, -18.3162696716, -17.4573563849, -18.7747763888
4.9e-07, 1e-05, 295, -16.4566090192, -17.6110195763, -16.7756581729, -18.0563964068
4.95e-07, 1e-05, 295, -15.8176654337, -16.9393721869, -16.1267133764, -17.3721192938
5e-07, 1e-05, 295, -15.209213963, -16.2994271366, -15.5086556325, -16.7200171878
5.05e-07, 1e-05, 295, -14.6295278446, -15.6894024746, -14.9197414145, -16.0982883976
5.1e-07, 1e-05, 295, -14.0769985436, -15.1076374592, -14.3583408773, -15.5052480374
5.15e-07, 1e-05, 295, -13.550113458, -14.5525700844, -13.8229294639, -14.9393194392
5.2e-07, 1e-05, 295, -13.0474653826, -14.0227463637, -13.3120802012, -14.3990262703
5.25e-07, 1e-05, 295, -12.5677308151, -13.5167984784, -12.8244566263, -13.882985289
5.3e-07, 1e-05, 295, -12.109674917, -13.0334495881, -12.3588062846, -13.3898996879
5.35e-07, 1e-05, 295, -11.6721319953, -12.5714941733, -11.9139547475, -12.9185529666
5.4e-07, 1e-05, 295, -11.2540164085, -12.1298088088, -11.4888001071, -12.4678032893
5.45e-07, 1e-05, 295, -10.8543047976, -11.7073342782, -11.0823079034, -12.0365782864
5.5e-07, 1e-05, 295, -10.4720362713, -11.3030756409, -10.693506447, -11.6238702589
5.55e-07, 1e-05, 295, -10.106311079, -10.9161008019, -10.3214825043, -11.2287317542
5.6e-07, 1e-05, 295, -9.7562768738, -10.5455266793, -9.9653773135, -10.8502714777
5.65e-07, 1e-05, 295, -9.42113832516, -10.1905287174, -9.62438290379, -10.4876505166
5.7e-07, 1e-05, 295, -9.10014329185, -9.8503269797, -9.29773869114, -10.140078846
5.75e-07, 1e-05, 295, -8.79258363409, -9.52418687913, -8.98472832981, -9.80681209525
5.8e-07, 1e-05, 295, -8.49779502777, -9.21141891518, -8.68467679666, -9.48714855416
5.85e-07, 1e-05, 295, -8.21514556685, -8.91136720687, -8.39694769038, -9.18042639758
5.9e-07, 1e-05, 295, -7.94404504696, -8.62341870946, -8.12094072702, -8.88602111284
5.95e-07, 1e-05, 295, -7.68393346355, -8.34699165281, -7.8560894175, -8.60334311096
6e-07, 1e-05, 295, -7.43428218115, -8.0815366466, -7.60185891135, -8.33183551031
6.05e-07, 1e-05, 295, -7.19459474024, -7.82653744224, -7.35774399447, -8.07097207661
6.1e-07, 1e-05, 295, -6.96439661712, -7.58150062869, -7.12326722758, -7.82025530808
6.15e-07, 1e-05, 295, -6.74324468129, -7.3459650551, -6.89797721594, -7.5792146547
6.2e-07, 1e-05, 295, -6.53071689109, -7.1194914707, -6.68144699904, -7.34740485978
6.25e-07, 1e-05, 295, -6.32641466251, -6.90166485629, -6.47327255142, -7.12440441675
6.3e-07, 1e-05, 295, -6.12996010469, -6.69209161708, -6.27307138647, -6.90981413041
6.35e-07, 1e-05, 295, -5.94099770609, -6.49040123426, -6.08048125455, -6.70325577629
6.4e-07, 1e-05, 295, -5.75918609895, -6.29623799035, -5.8951589296, -6.50437084903
6.45e-07, 1e-05, 295, -5.5842064292, -6.10926930852, -5.71677907651, -6.31281939525
6.5e-07, 1e-05, 295, -5.41575378893, -5.92917715088, -5.54503319425, -6.1282789232
6.55e-07, 1e-05, 295, -5.25353970662, -5.75566048154, -5.37962862803, -5.950443384
6.6e-07, 1e-05, 295, -5.09728975189, -5.58843284194, -5.22028764685, -5.77902221978
6.65e-07, 1e-05, 295, -4.94674580002, -5.4272245888, -5.06674658068, -5.61373947259
6.7e-07, 1e-05, 295, -4.80165825049, -5.27177508818, -4.91875501338, -5.45433295144
6.75e-07, 1e-05, 295, -4.6617945459, -5.12184120939, -4.77607502736, -5.30055345206
6.8e-07, 1e-05, 295, -4.52693115768, -4.97718929297, -4.63848049649, -5.15216402623
6.85e-07, 1e-05, 295, -4.39685626409, -4.83759779956, -4.50575642327, -5.00893929696
6.9e-07, 1e-05, 295, -4.2713683743, -4.70285592275, -4.37769831803, -4.8706648168
6.95e-07, 1e-05, 295, -4.15027529115, -4.57276252624, -4.25411161659, -4.73713646528
7e-07, 1e-05, 295, -4.0333961449, -4.44712816462, -4.134811134, -4.60815988423
7.05e-07, 1e-05, 295, -3.92055484352, -4.32576851206, -4.01962055201, -4.48354994718
7.1e-07, 1e-05, 295, -3.81158768755, -4.2085119669, -3.90837193744, -4.36313026118
7.15e-07, 1e-05, 295, -3.7063365045, -4.09519276403, -3.80090529018, -4.2467326986
7.2e-07, 1e-05, 295, -3.60465116372, -3.98565348298, -3.69706811823, -4.13419695726
7.25e-07, 1e-05, 295, -3.50638851301, -3.87974396395, -3.59671503814, -4.02537014622
7.3e-07, 1e-05, 295, -3.41141155944, -3.7773204799, -3.49970739921, -3.92010639664
7.35e-07, 1e-05, 295, -3.31959162827, -3.67824788331, -3.40591293007, -3.8182664952
7.4e-07, 1e-05, 295, -3.23080208371, -3.58239331114, -3.3152054056, -3.71971753902
7.45e-07, 1e-05, 295, -3.14492602431, -3.48963387632, -3.22746433366, -3.6243326105
7.5e-07, 1e-05, 295, -3.06184962071, -3.3998499863, -3.14257465974, -3.53199047121
7.55e-07, 1e-05, 295, -2.98146477846, -3.31292800414, -3.06042648869, -3.44257527272
7.6e-07, 1e-05, 295, -2.9036681333, -3.22875922883, -2.98091482232, -3.35597628447
7.65e-07, 1e-05, 295, -2.82836094735, -3.14723978504, -2.90393931189, -3.27208763674
7.7e-07, 1e-05, 295, -2.75544884023, -3.06827034465, -2.82940402472, -3.1908080781
7.75e-07, 1e-05, 295, -2.68484117119, -2.99175550124, -2.75721722365, -3.11204074641
7.8e-07, 1e-05, 295, -2.61645288287, -2.9176056052, -2.68729115897, -3.03569295249
7.85e-07, 1e-05, 295, -2.55019947947, -2.84573173696, -2.61954187192, -2.96167597592
