# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 31400nm
#
# P_PR = pi³*hbar*c*R/(120*L^4)
#
# order of finite difference formula: 8
# stepsize: 0
#
# L (nm), P_Drude/F_PR, P_PFA_Drude/P_PR, P_plasma/P_PR, P_PFA_plasma/P_PR, 1-P_Drude/P_PFA_Drude, 1-P_plasma/P_PFA_plasma
270, 0.664122245764, 0.666637896684, 0.689249298566, 0.69243191731, 0.00377363923054, 0.00459629122314
274, 0.666542053131, 0.669099266399, 0.692189598703, 0.695434844958, 0.0038218742657, 0.00466649935459
278, 0.668902758984, 0.671501381034, 0.69507178571, 0.698379811172, 0.00386986851197, 0.00473671404741
282, 0.671206025559, 0.673845936136, 0.697897480507, 0.701268469177, 0.00391767677846, 0.00480698736295
286, 0.673453621573, 0.676134564006, 0.700668412103, 0.704102410354, 0.00396510188357, 0.00487712895248
290, 0.675646985532, 0.678368836424, 0.703385980683, 0.706883167597, 0.00401234659719, 0.00494733369503
294, 0.677787657404, 0.680550267506, 0.706051689932, 0.709612217726, 0.00405937699873, 0.00501756833433
298, 0.679877222019, 0.682680316085, 0.708667090309, 0.712290983729, 0.0041060127272, 0.00508765869961
302, 0.681916944802, 0.684760388508, 0.711233413681, 0.714920837678, 0.00415246523189, 0.00515780741324
306, 0.683908174376, 0.686791840821, 0.713751975576, 0.717503102752, 0.00419874884018, 0.00522802920513
310, 0.685852382987, 0.688775980798, 0.716224218823, 0.720039055077, 0.0042446279958, 0.00529809630097
314, 0.687750709901, 0.690714070438, 0.718651253746, 0.722529926315, 0.00429028546536, 0.00536818258712
318, 0.689604285892, 0.692607327518, 0.721034181394, 0.724976905352, 0.00433585020986, 0.00543841318033
322, 0.691414436597, 0.694456927847, 0.723374300951, 0.727381139772, 0.00438110864436, 0.00550858223
326, 0.693182376223, 0.696264006925, 0.72567280112, 0.729743738339, 0.00442595146698, 0.0055785846525
330, 0.694908918978, 0.698029661442, 0.727930471027, 0.732065771818, 0.00447078775708, 0.0056488104629
334, 0.6965952762, 0.69975495132, 0.730148496599, 0.73434827536, 0.00451540230477, 0.00571905579724
338, 0.698242643631, 0.701440900772, 0.732328051809, 0.736592249184, 0.00455955325392, 0.00578908803339
342, 0.699851748038, 0.703088500242, 0.734469842328, 0.7387986608, 0.00460361989033, 0.0058592668089
346, 0.701423726717, 0.704698707318, 0.736574981395, 0.740968445553, 0.00464734867088, 0.00592935392089
350, 0.702959284822, 0.70627244853, 0.738644154857, 0.743102508718, 0.00469105614258, 0.0059996485121
354, 0.704459437863, 0.707810620137, 0.740678359577, 0.745201725904, 0.00473457472869, 0.00606998906453
358, 0.705925336724, 0.709314089804, 0.742678726353, 0.747266945047, 0.00477750707045, 0.00613999953367
362, 0.707357381093, 0.710783697257, 0.744645637427, 0.749298986677, 0.00482047657625, 0.0062102703086
366, 0.708756567977, 0.712220255874, 0.74658007006, 0.751298645843, 0.00486322576266, 0.00628055941421
370, 0.710123827133, 0.713624553211, 0.748482938122, 0.753266692335, 0.00490555721801, 0.00635067800255
374, 0.711459526672, 0.71499735252, 0.750354595399, 0.755203872032, 0.00494802650104, 0.00642114905973
378, 0.712764784974, 0.716339393214, 0.752196140116, 0.757110908059, 0.00499010423522, 0.00649147686363
382, 0.714040444239, 0.717651392006, 0.754008404057, 0.758988500991, 0.00503161814662, 0.00656149194277
386, 0.715286487173, 0.718934043918, 0.755791355244, 0.760837330508, 0.00507356241691, 0.00663213417862
390, 0.716504116929, 0.720188022689, 0.757546173869, 0.762658055436, 0.00511519998012, 0.00670271759509
394, 0.717694472006, 0.721413982064, 0.759273993668, 0.764451314884, 0.0051558607822, 0.00677259769951
398, 0.718857228741, 0.72261255608, 0.760974479638, 0.766217729226, 0.00519687529177, 0.00684302827797
402, 0.719993205614, 0.72378436001, 0.762648428211, 0.767957900099, 0.00523796120148, 0.00691375384939
406, 0.721103354933, 0.724929991214, 0.764296786011, 0.769672411939, 0.00527862873197, 0.00698430376939
410, 0.722188216398, 0.726050029418, 0.765920079027, 0.771361831804, 0.00531893514682, 0.00705473430639
