# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 31400nm
#
# F_PR = -pi³*hbar*c*R/(360*L³)
#
# order of finite difference formula: 8
# stepsize: 1
#
# L (nm), F_Drude/F_PR, F_PFA_Drude/F_PR, F_plasma/F_PR, F_PFA_plasma/F_PR, 1-F_Drude/F_PFA_Drude, 1-F_Plasma/F_PFA_Plasma
162, 0.626944801518, 0.629098348238, 0.648851488724, 0.651693705627, 0.00342322742766, 0.00436127720501
166, 0.631246414418, 0.633459984806, 0.653912612823, 0.656850160373, 0.00349441234024, 0.0044721729967
170, 0.635394751211, 0.637668008808, 0.65882322516, 0.661856579155, 0.00356495475022, 0.00458309865079
174, 0.639396532861, 0.641729130611, 0.663589872384, 0.666719493239, 0.00363486343215, 0.00469405932651
178, 0.643258084033, 0.64564967574, 0.668218716353, 0.671445060828, 0.00370416310339, 0.00480507589368
182, 0.646985380421, 0.649435612567, 0.672715580541, 0.676039093302, 0.00377286385186, 0.00491615469345
186, 0.650584074257, 0.65309257729, 0.677085974797, 0.680507080274, 0.00384096086901, 0.00502728858441
190, 0.654059483199, 0.656625897112, 0.681335083391, 0.684854211053, 0.00390848719888, 0.00513850627699
194, 0.657416659133, 0.660040611511, 0.685467833163, 0.689085395906, 0.00397544080209, 0.00524980323785
198, 0.660660369706, 0.6633414912, 0.689488874461, 0.693205284037, 0.00404184199134, 0.00536119626042
202, 0.663795137043, 0.666533056425, 0.693402619237, 0.697218281275, 0.00410770231976, 0.00547269361726
206, 0.666825255935, 0.669619592901, 0.697213258744, 0.701128565704, 0.004173021512, 0.00558429245557
210, 0.66975478904, 0.672605167183, 0.700924758212, 0.704940102729, 0.00423781779, 0.0056960080753
214, 0.672587599813, 0.675493640529, 0.704540889434, 0.708656657908, 0.00430209929621, 0.00580784563093
218, 0.675327358709, 0.678288681777, 0.708065236529, 0.712281809871, 0.00436587421793, 0.0059198105078
222, 0.677977550046, 0.680993779257, 0.711501202311, 0.715818961746, 0.00442915824344, 0.00603191542245
226, 0.680541498662, 0.683612251812, 0.714852034848, 0.719271351845, 0.00449195160143, 0.00614415823131
230, 0.683022366338, 0.686147259024, 0.718120823393, 0.722642063578, 0.00455425951981, 0.00625654167161
234, 0.685423152006, 0.688601810704, 0.721310498289, 0.725934034643, 0.00461610563364, 0.00636908607847
238, 0.687746731429, 0.690978775695, 0.72442387058, 0.729150065581, 0.00467748703674, 0.00648178643055
242, 0.689995834876, 0.693280890075, 0.727463609224, 0.732292827715, 0.00473841879409, 0.00659465490961
246, 0.6921730778, 0.695510764774, 0.730432271651, 0.735364870689, 0.00479890052356, 0.0067076892499
250, 0.694280952571, 0.697670892681, 0.733332295351, 0.738368628836, 0.00485893871466, 0.0068208930986
254, 0.696321826598, 0.699763655269, 0.736165995529, 0.741306428373, 0.00491855878203, 0.0069342887728
258, 0.698297990977, 0.701791328848, 0.738935613993, 0.7441804929, 0.00497774441851, 0.00704785862699
262, 0.700211615641, 0.703756090038, 0.741643273821, 0.746992949131, 0.00503650973245, 0.00716161419639
266, 0.702064770709, 0.705660021605, 0.744291000631, 0.749745832276, 0.00509487683334, 0.00727557448213
270, 0.703859460662, 0.707505117218, 0.746880756668, 0.752441090376, 0.00515283418738, 0.0073897262905
274, 0.705597591493, 0.709293286327, 0.749414407767, 0.755080589722, 0.00521039026521, 0.00750407576661
278, 0.70728097875, 0.711026358276, 0.751893731316, 0.757666118772, 0.00526756776579, 0.00761864271459
282, 0.708911390337, 0.712706086902, 0.754320458907, 0.760199391735, 0.0053243498762, 0.00773340901343
286, 0.710490495469, 0.714334154227, 0.756696225191, 0.762682053187, 0.00538075736103, 0.00784839235551
290, 0.712019904844, 0.715912173854, 0.759022607959, 0.765115681258, 0.00543679679209, 0.00796359746446
294, 0.713501173033, 0.717441694868, 0.761301130459, 0.767501790476, 0.00549246282121, 0.00807901700459
298, 0.714935779682, 0.718924204861, 0.763533242455, 0.769841835947, 0.00554776866887, 0.00819466180938
302, 0.71632514628, 0.720361132682, 0.765720336953, 0.772137215169, 0.00560272649199, 0.00831054129943
306, 0.717670653941, 0.721753851893, 0.767863767875, 0.774389271915, 0.00565732755247, 0.00842664571451
310, 0.718973615293, 0.723103682806, 0.769964822062, 0.776599297779, 0.00571158412105, 0.00854298443936
314, 0.720235292132, 0.724411895652, 0.772024736405, 0.778768535553, 0.0057655092986, 0.00865956807473
318, 0.721456912157, 0.725679712358, 0.774044715079, 0.780898181248, 0.00581909639936, 0.00877638895008
322, 0.722639647302, 0.726908309411, 0.776025907432, 0.782989385712, 0.00587235288633, 0.0088934516952
326, 0.723784627803, 0.728098819386, 0.777969422136, 0.78504325788, 0.00592528303577, 0.00901075918216
330, 0.724892928159, 0.729252333562, 0.77987631307, 0.787060865403, 0.00597791080394, 0.00912833129977
334, 0.725965626962, 0.73036990322, 0.781747639071, 0.789043237848, 0.00603019954536, 0.00924613307235
338, 0.727003704068, 0.731452542052, 0.78358436128, 0.790991367242, 0.00608219635253, 0.00936420581745
342, 0.72800814834, 0.732501227242, 0.785387450365, 0.792906210329, 0.00613388583485, 0.00948253383011
346, 0.728979902761, 0.733516901715, 0.787157832062, 0.794788690476, 0.00618526845515, 0.0096011160017
350, 0.729919855053, 0.734500475005, 0.788896377682, 0.79663969818, 0.0062363743906, 0.00971997819749
354, 0.730828913634, 0.735452825382, 0.790603979662, 0.798460093655, 0.00628716293962, 0.00983908157175
358, 0.731707894748, 0.736374800514, 0.792281439141, 0.800250706937, 0.00633767717593, 0.00995846392581
362, 0.732557617552, 0.737267219506, 0.793929560739, 0.802012340446, 0.00638791720127, 0.0100781238643
366, 0.733378888004, 0.738130873456, 0.795549136361, 0.803745768993, 0.00643786301749, 0.0101980414059
370, 0.734172447513, 0.738966526959, 0.797140894288, 0.805451741504, 0.00648754614855, 0.010318243524
374, 0.734939037141, 0.739774919431, 0.798705562585, 0.807130982503, 0.00653696436908, 0.0104387269242
378, 0.735679387873, 0.740556765562, 0.800243859901, 0.808784192209, 0.00658609564542, 0.0105594698686
382, 0.736394160683, 0.741312757067, 0.801756435737, 0.810412048039, 0.00663498144011, 0.0106805079255
386, 0.737084025372, 0.742043562939, 0.803243948094, 0.812015205931, 0.0066836204972, 0.0108018393899
390, 0.737749659799, 0.742749830699, 0.804707064193, 0.813594300173, 0.00673197177981, 0.0109234245839
394, 0.738391649655, 0.743432187507, 0.806146359618, 0.815149945564, 0.00678009095776, 0.0110453125777
398, 0.739010598029, 0.744091240416, 0.807562426864, 0.816682736967, 0.00682798306276, 0.0111675069043
402, 0.73960712099, 0.74472757747, 0.808955872679, 0.818193250669, 0.00687561013639, 0.0112899708993
406, 0.740181777957, 0.745341768709, 0.810327247298, 0.819682045607, 0.00692298616399, 0.0114127158925
410, 0.740735093968, 0.745934366308, 0.811677066766, 0.821149662963, 0.00697014720706, 0.0115357731047
414, 0.741267609546, 0.746505905572, 0.813005863034, 0.822596627602, 0.00701708584826, 0.0116591343145
418, 0.74177987005, 0.747056905847, 0.814314173258, 0.824023448356, 0.00706376683701, 0.0117827655483
422, 0.742272342769, 0.747587870553, 0.815602457042, 0.825430619226, 0.00711023813151, 0.0119067090009
426, 0.742745518253, 0.748099288186, 0.816871197107, 0.826818619015, 0.00715649649416, 0.0120309602116
430, 0.743199882007, 0.748591632695, 0.81812087169, 0.828187912386, 0.00720252598599, 0.0121555030508
434, 0.743635891182, 0.749065364347, 0.819351931071, 0.829538950869, 0.0072483302847, 0.0122803393226
438, 0.744053969023, 0.749520929728, 0.820564791686, 0.83087217233, 0.00729394002046, 0.0124054950782
442, 0.744454549531, 0.749958762508, 0.821759880941, 0.832188002177, 0.00733935417816, 0.0125309680126
446, 0.744838083304, 0.75037928418, 0.822937643288, 0.833486853476, 0.00738453338476, 0.0126567205518
450, 0.745204943244, 0.750782903938, 0.824098445733, 0.83476912802, 0.0074295254521, 0.012782794582
454, 0.745555538998, 0.75117001951, 0.825242691853, 0.836035215765, 0.00747431389231, 0.0129091738101
