# R=1e-05
# T=300
# R/L, L (in m), E (in J), E_pfa (in J), 1-E/E_PFA
113.636363636, 8.8e-08, -1.03744053709e-18, -1.04996529899e-18, 0.011928738891
111.420612813, 8.975e-08, -1.00299484622e-18, -1.0153051561e-18, 0.0121247388503
109.289617486, 9.15e-08, -9.70253983594e-19, -9.8235655394e-19, 0.0123199364803
107.238605898, 9.325e-08, -9.39105425959e-19, -9.51006695772e-19, 0.012514391188
105.263157895, 9.5e-08, -9.09445979117e-19, -9.21152066859e-19, 0.0127080947468
103.359173127, 9.675e-08, -8.8118072895e-19, -8.92697521506e-19, 0.0129011140704
101.52284264, 9.85e-08, -8.54222381886e-19, -8.65555474173e-19, 0.0130934326278
99.7506234414, 1.0025e-07, -8.28490410519e-19, -8.39645181344e-19, 0.0132851007454
98.0392156863, 1.02e-07, -8.03910494781e-19, -8.14892101997e-19, 0.0134761487919
96.3855421687, 1.0375e-07, -7.80413960215e-19, -7.91227328373e-19, 0.0136665756729
94.7867298578, 1.055e-07, -7.57937214077e-19, -7.68587076534e-19, 0.0138564162491
93.2400932401, 1.0725e-07, -7.36421328119e-19, -7.46912230334e-19, 0.0140456961193
91.7431192661, 1.09e-07, -7.15811634441e-19, -7.26147933419e-19, 0.0142344259365
90.2934537246, 1.1075e-07, -6.96057337711e-19, -7.06243221291e-19, 0.0144226284561
88.8888888889, 1.125e-07, -6.77111193607e-19, -6.87150691644e-19, 0.0146103295233
87.5273522976, 1.1425e-07, -6.58929220149e-19, -6.68826205847e-19, 0.0147975447304
86.2068965517, 1.16e-07, -6.4147041808e-19, -6.51228620313e-19, 0.0149842957272
84.9256900212, 1.1775e-07, -6.24696540961e-19, -6.3431954353e-19, 0.0151705913319
83.6820083682, 1.195e-07, -6.08571856735e-19, -6.18063115289e-19, 0.0153564552213
82.4742268041, 1.2125e-07, -5.93062961734e-19, -6.02425807159e-19, 0.0155419062638
81.3008130081, 1.23e-07, -5.78138603746e-19, -5.87376241264e-19, 0.0157269512608
80.1603206413, 1.2475e-07, -5.63769498556e-19, -5.72885024712e-19, 0.0159116153555
79.0513833992, 1.265e-07, -5.49928199114e-19, -5.58924599597e-19, 0.0160959107706
77.9727095517, 1.2825e-07, -5.36588948826e-19, -5.45469105798e-19, 0.0162798532087
76.9230769231, 1.3e-07, -5.23727561336e-19, -5.3249425578e-19, 0.0164634535469
75.9013282732, 1.3175e-07, -5.11321308188e-19, -5.1997722011e-19, 0.0166467137174
74.9063670412, 1.335e-07, -4.99348788519e-19, -5.07896522676e-19, 0.0168296764698
73.9371534196, 1.3525e-07, -4.87789876885e-19, -4.96231944644e-19, 0.0170123424149
72.9927007299, 1.37e-07, -4.76625605849e-19, -4.84964436349e-19, 0.0171947257866
72.0720720721, 1.3875e-07, -4.65838104918e-19, -4.74076036353e-19, 0.0173768146955
71.1743772242, 1.405e-07, -4.55410484669e-19, -4.63549797032e-19, 0.017558658023
70.2987697715, 1.4225e-07, -4.45326821273e-19, -4.53369716059e-19, 0.0177402559129
69.4444444444, 1.44e-07, -4.35572072384e-19, -4.43520673293e-19, 0.0179216018289
68.6106346484, 1.4575e-07, -4.26131995333e-19, -4.33988372549e-19, 0.0181027366465
67.7966101695, 1.475e-07, -4.16993136559e-19, -4.24759287844e-19, 0.0182836526644
67.0016750419, 1.4925e-07, -4.08142755973e-19, -4.15820613794e-19, 0.0184643511314
66.2251655629, 1.51e-07, -3.99568767033e-19, -4.07160219391e-19, 0.0186448773631
65.4664484452, 1.5275e-07, -3.91259738561e-19, -3.98766605858e-19, 0.0188252155191
64.7249190939, 1.545e-07, -3.83204821482e-19, -3.90628866968e-19, 0.0190053683019
64, 1.5625e-07, -3.75393707108e-19, -3.82736652602e-19, 0.0191853731386
63.2911392405, 1.58e-07, -3.67816631787e-19, -3.75080134571e-19, 0.0193652025667
62.5978090767, 1.5975e-07, -3.60464289541e-19, -3.67649975446e-19, 0.0195449106076
61.919504644, 1.615e-07, -3.5332786603e-19, -3.60437299003e-19, 0.0197244652337
61.2557427259, 1.6325e-07, -3.46398952045e-19, -3.53433663065e-19, 0.0199039077344
60.6060606061, 1.65e-07, -3.39669564374e-19, -3.46631033867e-19, 0.0200832262914
59.9700149925, 1.6675e-07, -3.33132090719e-19, -3.40021762728e-19, 0.0202624442428
59.3471810089, 1.685e-07, -3.26779292546e-19, -3.33598563806e-19, 0.0204415486165
58.7371512482, 1.7025e-07, -3.20604254297e-19, -3.27354493324e-19, 0.020620578502
58.1395348837, 1.72e-07, -3.14600406341e-19, -3.21282930659e-19, 0.0207995000075
57.5539568345, 1.7375e-07, -3.08761453042e-19, -3.15377560198e-19, 0.0209783700263
56.9800569801, 1.755e-07, -3.03081414005e-19, -3.09632354346e-19, 0.0211571570282
56.4174894217, 1.7725e-07, -2.97554560346e-19, -3.04041558172e-19, 0.0213358919228
55.8659217877, 1.79e-07, -2.92175431145e-19, -2.98599674241e-19, 0.0215145683344
55.3250345781, 1.8075e-07, -2.86938800532e-19, -2.93301449161e-19, 0.0216932055633
54.7945205479, 1.825e-07, -2.81839682923e-19, -2.8814186049e-19, 0.0218717875846
54.2740841248, 1.8425e-07, -2.7687329845e-19, -2.83116104415e-19, 0.0220503385979
53.7634408602, 1.86e-07, -2.72035074749e-19, -2.78219584713e-19, 0.0222288807232
53.2623169108, 1.8775e-07, -2.67320647504e-19, -2.73447901627e-19, 0.0224073912682
52.7704485488, 1.895e-07, -2.62725822323e-19, -2.68796842193e-19, 0.0225859047317
52.2875816993, 1.9125e-07, -2.58246597185e-19, -2.64262370378e-19, 0.0227643957965
51.8134715026, 1.93e-07, -2.53879123891e-19, -2.59840618552e-19, 0.0229428897362
51.3478818999, 1.9475e-07, -2.49619714641e-19, -2.55527878719e-19, 0.0231214069804
50.8905852417, 1.965e-07, -2.45464846857e-19, -2.51320594987e-19, 0.0232999135255
50.4413619168, 1.9825e-07, -2.41411118674e-19, -2.47215355752e-19, 0.0234784649991
50, 2e-07, -2.37455290893e-19, -2.43208887033e-19, 0.0236570143876
