# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/_P_PFA_Plasma
1.85e-07, 5e-05, 295, -1.39903612201e-11, -1.45622489519e-11, -1.40240359346e-11, -1.46091640554e-11, 0.997599, 0.996789
1.9e-07, 5e-05, 295, -1.30018174776e-11, -1.35492357731e-11, -1.30338039083e-11, -1.35941264791e-11, 0.997546, 0.996698
1.95e-07, 5e-05, 295, -1.21043210227e-11, -1.26288011279e-11, -1.21347361304e-11, -1.26717996702e-11, 0.997494, 0.996607
2e-07, 5e-05, 295, -1.12875834724e-11, -1.17905315065e-11, -1.13165335726e-11, -1.18317584815e-11, 0.997442, 0.996516
2.05e-07, 5e-05, 295, -1.05426868744e-11, -1.10253963659e-11, -1.05702692025e-11, -1.10649623805e-11, 0.997391, 0.996424
2.1e-07, 5e-05, 295, -9.86187456577e-12, -1.03255375088e-11, -9.88817840977e-12, -1.03635443878e-11, 0.99734, 0.996333
2.15e-07, 5e-05, 295, -9.23837840211e-12, -9.68409503409e-12, -9.26348538804e-12, -9.72063617307e-12, 0.99729, 0.996241
2.2e-07, 5e-05, 295, -8.66627364636e-12, -9.09506111566e-12, -8.69025865298e-12, -9.13022245616e-12, 0.99724, 0.996149
2.25e-07, 5e-05, 295, -8.14035822953e-12, -8.55315829714e-12, -8.16329028956e-12, -8.5870192827e-12, 0.997191, 0.996057
2.3e-07, 5e-05, 295, -7.65605189179e-12, -8.05373779176e-12, -7.67799461543e-12, -8.08637184106e-12, 0.997142, 0.995964
2.35e-07, 5e-05, 295, -7.20931085874e-12, -7.59269342225e-12, -7.23032280697e-12, -7.62416834756e-12, 0.997094, 0.995872
2.4e-07, 5e-05, 295, -6.79655528898e-12, -7.16638842188e-12, -6.81669070371e-12, -7.19676719998e-12, 0.997046, 0.995779
2.45e-07, 5e-05, 295, -6.41460827172e-12, -6.77159386481e-12, -6.43391753767e-12, -6.80093513681e-12, 0.996999, 0.995686
2.5e-07, 5e-05, 295, -6.06064436631e-12, -6.40543670742e-12, -6.07917375771e-12, -6.4337945576e-12, 0.996952, 0.995592
2.55e-07, 5e-05, 295, -5.73214370533e-12, -6.06535344632e-12, -5.74993645177e-12, -6.09277850131e-12, 0.996906, 0.995499
2.6e-07, 5e-05, 295, -5.4268547773e-12, -5.7490525127e-12, -5.44395114137e-12, -5.77559204657e-12, 0.99686, 0.995405
2.65e-07, 5e-05, 295, -5.14276157846e-12, -5.45448107746e-12, -5.15919893803e-12, -5.48017911979e-12, 0.996814, 0.995311
2.7e-07, 5e-05, 295, -4.87805516884e-12, -5.17979629886e-12, -4.89386822788e-12, -5.20469386914e-12, 0.996769, 0.995216
